arm,classifier,schedule,delay_pattern,seeds,mean_test_accuracy,std_test_accuracy,mean_accuracy_gain_vs_no_delay_control,improved_seed_count,practical_gain_seed_count,active_edges,delayed_edges,mean_recurrent_delay,effective_trainable_parameters,mean_event_rate_ratio,mean_event_rate_vs_no_delay_control,mean_absolute_ltw_change,mean_lower_ltw_saturation_rate,mean_upper_ltw_saturation_rate,mean_train_seconds
raw,linear,raw,none,3,0.8593999999999999,0.001177568115510388,0.39973333333333333,3,3,0,0.0,0.0,650,0.0,0.0,0.0,0.0,0.0,0.7553613486670656
raw,mlp,raw,none,3,0.9420666666666667,0.0006182412330330308,0.37766666666666665,3,3,0,0.0,0.0,17785,0.0,0.0,0.0,0.0,0.0,0.9334127439997246
lif_no_delay_frozen,linear,frozen,none,3,0.4385333333333333,0.010172293524842654,0.0,0,0,272,0.0,0.0,1290,1.0,1.0,0.0,0.0,0.0,3.3514909660007106
lif_no_delay_frozen,mlp,frozen,none,3,0.5556,0.005354126134736342,0.0,0,0,272,0.0,0.0,17802,1.0,1.0,0.0,0.0,0.0,3.4036050416665
lif_no_delay_warm_all,linear,warmup,none,3,0.45966666666666667,0.013398839087357114,0.0,0,0,272,0.0,0.0,1562,1.2851577378611054,1.0,0.0199147363503774,0.0,0.006127451080828905,5.6959292730001225
lif_no_delay_warm_all,mlp,warmup,none,3,0.5644,0.008241359111214605,0.0,0,0,272,0.0,0.0,18074,1.0868453994788558,1.0,0.006611139979213476,0.0,0.002450980401287476,5.976626468665927
recurrent_delay1_frozen,linear,frozen,uniform_1,3,0.45,0.006790189000805988,0.011466666666666661,3,3,272,256.0,1.0,1290,1.0,0.9841469830528702,0.0,0.0,0.0,4.255196650333043
recurrent_delay1_frozen,mlp,frozen,uniform_1,3,0.519,0.005435684562837186,-0.0366,0,0,272,256.0,1.0,17802,1.0,0.9841469830528702,0.0,0.0,0.0,4.572431010332973
recurrent_delay1_warm_all,linear,warmup,uniform_1,3,0.4822,0.008713208364316796,0.022533333333333332,3,2,272,256.0,1.0,1562,1.273298996345724,0.9749416717082197,0.017399669314424198,0.001225490200643738,0.007352941281472643,7.225034267333588
recurrent_delay1_warm_all,mlp,warmup,uniform_1,3,0.5413333333333333,0.0019136933459210055,-0.02306666666666664,0,0,272,256.0,1.0,18074,1.2009923891385788,1.0872362981948147,0.007252516069759925,0.0,0.002450980401287476,7.317466525000175
recurrent_hash012_warm_all,linear,warmup,hash_0_2,3,0.5396666666666667,0.012727223665129107,0.08000000000000003,3,3,272,160.66666666666666,0.9479166666666666,1562,1.298597115193375,0.9943266732848445,0.020881521825989086,0.001225490200643738,0.006127451080828905,9.371615349333297
recurrent_hash012_warm_all,mlp,warmup,hash_0_2,3,0.6390666666666668,0.005624549364665171,0.07466666666666673,3,3,272,160.66666666666666,0.9479166666666666,18074,1.1224636455258854,1.0160254815363967,0.007088602830966313,0.0,0.001225490200643738,9.468442483666271
recurrent_distance012_warm_all,linear,warmup,distance_0_2,3,0.5405333333333333,0.012216200536809925,0.08086666666666668,3,3,272,173.33333333333334,1.0091145833333333,1562,1.2853810126089154,0.9797570666127179,0.02072679189344247,0.001225490200643738,0.006127451080828905,8.87101645466646
recurrent_distance012_warm_all,mlp,warmup,distance_0_2,3,0.6403333333333333,0.003492213560989003,0.07593333333333337,3,3,272,173.33333333333334,1.0091145833333333,18074,1.1201376431546202,1.0096155971955945,0.007172969946016868,0.0,0.002450980401287476,9.275194896999892
