seed,model,train_samples,test_samples,feature_dim,trainable_parameters,classifier_hidden_units,frozen_active_edges,mean_hidden_spike_rate,train_accuracy,test_accuracy,feature_seconds,train_seconds,inference_seconds,inference_examples_per_second
42,raw_pixel_linear,20000,5000,64,650,0,0,0.0,0.83975,0.8598,0.0,1.1711190590000342,0.0027455110000005334,1821154.6047344296
42,raw_pixel_mlp,20000,5000,64,34210,456,0,0.0,0.9541,0.949,0.0,1.0187227119999989,0.0037487149999719804,1333790.3788464507
42,frozen_ammc_linear,20000,5000,256,2570,0,384,0.024028711020946503,0.79105,0.7946,0.5992441540000186,0.928437122000048,0.004026153000040722,1241880.276271028
42,frozen_ammc_mlp,20000,5000,256,34186,128,384,0.024028711020946503,0.87,0.8646,0.5992441540000186,1.1583354219999933,0.005737925000005362,871395.147199611
43,raw_pixel_linear,20000,5000,64,650,0,0,0.0,0.8411,0.8578,0.0,0.6854425960000299,0.002225033000001986,2247157.6826031515
43,raw_pixel_mlp,20000,5000,64,34210,456,0,0.0,0.95435,0.952,0.0,0.8491253990000018,0.0029171219999852838,1714018.1315780499
43,frozen_ammc_linear,20000,5000,256,2570,0,384,0.026123046875,0.7936,0.7976,0.1931711579999842,0.8000399640000069,0.003490220000003319,1432574.4508928508
43,frozen_ammc_mlp,20000,5000,256,34186,128,384,0.026123046875,0.86695,0.8668,0.1931711579999842,0.9590708129999825,0.0041758640000466585,1197357.0020345808
44,raw_pixel_linear,20000,5000,64,650,0,0,0.0,0.84235,0.8606,0.0,0.6796208490000026,0.0031531480000239753,1585716.8772166679
44,raw_pixel_mlp,20000,5000,64,34210,456,0,0.0,0.95305,0.9532,0.0,0.8422618980000038,0.00309418500000902,1615934.4059858813
44,frozen_ammc_linear,20000,5000,256,2570,0,384,0.02088066376745701,0.78325,0.787,0.19687382799997977,0.820455346000017,0.0036506179999946653,1369631.1145146675
44,frozen_ammc_mlp,20000,5000,256,34186,128,384,0.02088066376745701,0.85015,0.8518,0.19687382799997977,0.9508082799999897,0.004155546999982107,1203211.0333540996
