feature,classifier,seeds,mean_test_accuracy,std_test_accuracy,mean_train_accuracy,feature_dim,trainable_parameters,classifier_hidden_units,frozen_active_edges,mean_hidden_spike_rate,mean_feature_seconds,mean_feature_examples_per_second,mean_train_seconds
raw_intensity,linear,3,0.8593999999999999,0.001177568115510388,0.8410666666666667,64,650,0,0,0.0,0.0,0.0,0.7519863873333179
raw_intensity,mlp,3,0.9514,0.0017663521732656012,0.9538333333333333,64,34210,456,0,0.0,0.0,0.0,0.8977912059999653
flattened_latency,linear,3,0.8810666666666668,0.00041096093353126784,0.8863,512,5130,0,0,0.0,0.49288518499997735,50721.75176050615,1.0117502363333035
flattened_latency,mlp,3,0.914,0.0013063945294843537,0.9474333333333332,512,34005,65,0,0.0,0.49288518499997735,50721.75176050615,1.106370902333386
sensor_trace,linear,3,0.7273999999999999,0.0005656854249492281,0.7158833333333333,128,1290,0,0,0.0,0.0764058950001072,327199.8842493099,0.7372311223333933
sensor_trace,mlp,3,0.8597333333333333,0.0029044027881056185,0.859,128,34204,246,0,0.0,0.0764058950001072,327199.8842493099,0.8819012326666021
hidden_trace,linear,3,0.7302666666666667,0.012852323611791854,0.72765,128,1290,0,384,0.02367747388780117,0.2458681103332765,102690.98160566267,0.7525537226667135
hidden_trace,mlp,3,0.8343333333333334,0.004496912521077351,0.8426666666666667,128,34204,246,384,0.02367747388780117,0.2458681103332765,102690.98160566267,0.869929708333378
full_trace,linear,3,0.7932666666666667,0.00489988662000346,0.7888999999999999,256,2570,0,384,0.02367747388780117,0.2458681103332765,102690.98160566267,0.8512133509999179
full_trace,mlp,3,0.8596666666666667,0.006223253882727979,0.8609666666666667,256,34186,128,384,0.02367747388780117,0.2458681103332765,102690.98160566267,0.996316218000023
raw_plus_hidden,linear,3,0.8691999999999999,0.0015577761927397082,0.8597,192,1930,0,384,0.02367747388780117,0.2458681103332765,102690.98160566267,0.7811027959999137
raw_plus_hidden,mlp,3,0.935,0.0016083117442419873,0.9390499999999999,192,34114,168,384,0.02367747388780117,0.2458681103332765,102690.98160566267,1.026310000666702
