seed,model,train_samples,test_samples,feature_dim,trainable_parameters,classifier_hidden_units,frozen_active_edges,mean_hidden_spike_rate,train_accuracy,test_accuracy,feature_seconds,feature_examples_per_second,train_seconds,inference_seconds,inference_examples_per_second,feature,classifier
42,raw_intensity_linear,20000,5000,64,650,0,0,0.0,0.83975,0.8598,0.0,0.0,0.8126536620000024,0.0032629659999656724,1532348.1764911439,raw_intensity,linear
42,raw_intensity_mlp,20000,5000,64,34210,456,0,0.0,0.9541,0.949,0.0,0.0,0.9591612249998889,0.003444583999907991,1451554.0919116957,raw_intensity,mlp
42,flattened_latency_linear,20000,5000,512,5130,0,0,0.0,0.88565,0.8816,0.48520495100001426,51524.61851115626,1.0544389939998382,0.005801164000104109,861895.9918923632,flattened_latency,linear
42,flattened_latency_mlp,20000,5000,512,34005,65,0,0.0,0.94915,0.9124,0.48520495100001426,51524.61851115626,1.3292309109999678,0.0077212689998304995,647561.948704256,flattened_latency,mlp
42,full_summary_linear,20000,5000,256,2570,0,384,0.024028711020946503,0.7903,0.7952,0.26402934499992625,94686.44479653193,0.9285178380000616,0.003627965000077893,1378183.0860806676,full_summary,linear
42,full_summary_mlp,20000,5000,256,34186,128,384,0.024028711020946503,0.866,0.8612,0.26402934499992625,94686.44479653193,1.020659205000129,0.004392905999793584,1138198.7231766267,full_summary,mlp
42,sensor_temporal_linear,20000,5000,512,5130,0,0,0.0,0.90455,0.8974,0.42446864099997583,58897.16597462714,0.9824549859999934,0.0052850380000109,946066.9913801354,sensor_temporal,linear
42,sensor_temporal_mlp,20000,5000,512,34005,65,0,0.0,0.952,0.9224,0.42446864099997583,58897.16597462714,1.1015345910000178,0.005895761999909155,848066.7978247837,sensor_temporal,mlp
42,hidden_temporal_linear,20000,5000,512,5130,0,384,0.024028711020946503,0.8997,0.897,0.42446864099997583,58897.16597462714,0.9688526630000069,0.005452578000131325,916997.4276167301,hidden_temporal,linear
42,hidden_temporal_mlp,20000,5000,512,34005,65,384,0.024028711020946503,0.94,0.9248,0.42446864099997583,58897.16597462714,1.0961665029999494,0.0057655440000417,867220.8554758817,hidden_temporal,mlp
42,full_temporal_linear,20000,5000,1024,10250,0,384,0.024028711020946503,0.92425,0.9146,0.42446864099997583,58897.16597462714,1.1682030749998376,0.007506799999873692,666062.7697666287,full_temporal,linear
42,full_temporal_mlp,20000,5000,1024,34165,33,384,0.024028711020946503,0.94865,0.9244,0.42446864099997583,58897.16597462714,1.322282818000076,0.008174083999847426,611689.3342536397,full_temporal,mlp
42,raw_plus_hidden_temporal_linear,20000,5000,576,5770,0,384,0.024028711020946503,0.90685,0.9078,0.42446864099997583,58897.16597462714,0.978861525999946,0.005379288999847631,929490.867685604,raw_plus_hidden_temporal,linear
42,raw_plus_hidden_temporal_mlp,20000,5000,576,34056,58,384,0.024028711020946503,0.94945,0.9322,0.42446864099997583,58897.16597462714,1.3054764989999512,0.007175497999924119,696815.7471513301,raw_plus_hidden_temporal,mlp
43,raw_intensity_linear,20000,5000,64,650,0,0,0.0,0.8411,0.8578,0.0,0.0,0.7243805049999992,0.002517779000072551,1985877.235395133,raw_intensity,linear
43,raw_intensity_mlp,20000,5000,64,34210,456,0,0.0,0.95435,0.952,0.0,0.0,0.961854176000088,0.004129968000142981,1210663.1334254644,raw_intensity,mlp
43,flattened_latency_linear,20000,5000,512,5130,0,0,0.0,0.8868,0.881,0.48520495100001426,51524.61851115626,1.0040907580000749,0.005081944000039584,983875.4618234781,flattened_latency,linear
43,flattened_latency_mlp,20000,5000,512,34005,65,0,0.0,0.9467,0.9156,0.48520495100001426,51524.61851115626,1.0961384540000836,0.005875661999880322,850967.942012635,flattened_latency,mlp
43,full_summary_linear,20000,5000,256,2570,0,384,0.026123046875,0.79305,0.8,0.22764462199984337,109820.2970066967,0.8187982270001157,0.003692848000127924,1353968.5358906717,full_summary,linear
43,full_summary_mlp,20000,5000,256,34186,128,384,0.026123046875,0.8699,0.8674,0.22764462199984337,109820.2970066967,0.9792381770000702,0.004402969000011581,1135597.3662287537,full_summary,mlp
43,sensor_temporal_linear,20000,5000,512,5130,0,0,0.0,0.9043,0.8988,0.5057225739999467,49434.21805806643,0.9942126240000562,0.005249445999879754,952481.4618751259,sensor_temporal,linear
43,sensor_temporal_mlp,20000,5000,512,34005,65,0,0.0,0.9545,0.9222,0.5057225739999467,49434.21805806643,1.1002940739999758,0.005978368999876693,836348.5091173074,sensor_temporal,mlp
43,hidden_temporal_linear,20000,5000,512,5130,0,384,0.026123046875,0.8947,0.8984,0.5057225739999467,49434.21805806643,0.9768323819998841,0.005235566000010294,955006.5838135111,hidden_temporal,linear
43,hidden_temporal_mlp,20000,5000,512,34005,65,384,0.026123046875,0.93825,0.9274,0.5057225739999467,49434.21805806643,1.0929448520000733,0.0062326120000761875,802231.8732401247,hidden_temporal,mlp
43,full_temporal_linear,20000,5000,1024,10250,0,384,0.026123046875,0.9233,0.916,0.5057225739999467,49434.21805806643,1.179732936999926,0.008757514999842897,570938.2170729592,full_temporal,linear
43,full_temporal_mlp,20000,5000,1024,34165,33,384,0.026123046875,0.95125,0.9258,0.5057225739999467,49434.21805806643,1.3608856539999579,0.009026387999938379,553931.4286106618,full_temporal,mlp
43,raw_plus_hidden_temporal_linear,20000,5000,576,5770,0,384,0.026123046875,0.9041,0.9054,0.5057225739999467,49434.21805806643,1.0506808869999986,0.006003977000091254,832781.3380904034,raw_plus_hidden_temporal,linear
43,raw_plus_hidden_temporal_mlp,20000,5000,576,34056,58,384,0.026123046875,0.94405,0.9352,0.5057225739999467,49434.21805806643,1.2210463700000673,0.009487196000009135,527026.1097162097,raw_plus_hidden_temporal,mlp
44,raw_intensity_linear,20000,5000,64,650,0,0,0.0,0.84235,0.8606,0.0,0.0,0.6871491130000322,0.002179498000032254,2294106.2574620424,raw_intensity,linear
44,raw_intensity_mlp,20000,5000,64,34210,456,0,0.0,0.95305,0.9532,0.0,0.0,0.8568656259999443,0.0028874110000742803,1731655.1055154158,raw_intensity,mlp
44,flattened_latency_linear,20000,5000,512,5130,0,0,0.0,0.88645,0.8806,0.48520495100001426,51524.61851115626,0.9609791980001319,0.005501590999983819,908828.0099365268,flattened_latency,linear
44,flattened_latency_mlp,20000,5000,512,34005,65,0,0.0,0.94645,0.914,0.48520495100001426,51524.61851115626,1.0909802609999133,0.005939649000083591,841800.5845008069,flattened_latency,mlp
44,full_summary_linear,20000,5000,256,2570,0,384,0.02088066376745701,0.78295,0.7868,0.22826370400002816,109522.44952617135,0.8296983950001504,0.0036073750000014115,1386049.412661019,full_summary,linear
44,full_summary_mlp,20000,5000,256,34186,128,384,0.02088066376745701,0.84735,0.8512,0.22826370400002816,109522.44952617135,0.9292449810000107,0.00407550199997786,1226842.7300556258,full_summary,mlp
44,sensor_temporal_linear,20000,5000,512,5130,0,0,0.0,0.90365,0.8976,0.5121268109999164,48816.0343552177,0.9546165730000666,0.005405534999908923,924977.8236722626,sensor_temporal,linear
44,sensor_temporal_mlp,20000,5000,512,34005,65,0,0.0,0.951,0.922,0.5121268109999164,48816.0343552177,1.1071203730000434,0.005779711000059251,865095.1578632118,sensor_temporal,mlp
44,hidden_temporal_linear,20000,5000,512,5130,0,384,0.02088066376745701,0.8919,0.8904,0.5121268109999164,48816.0343552177,0.9536823729999924,0.005232932999888362,955487.1044797761,hidden_temporal,linear
44,hidden_temporal_mlp,20000,5000,512,34005,65,384,0.02088066376745701,0.93615,0.92,0.5121268109999164,48816.0343552177,1.0860051790000398,0.0056810959999893385,880111.8657402345,hidden_temporal,mlp
44,full_temporal_linear,20000,5000,1024,10250,0,384,0.02088066376745701,0.9234,0.915,0.5121268109999164,48816.0343552177,1.29416255000001,0.007873559000017849,635036.83658034,full_temporal,linear
44,full_temporal_mlp,20000,5000,1024,34165,33,384,0.02088066376745701,0.9498,0.9228,0.5121268109999164,48816.0343552177,1.4550166340000033,0.008692483999993783,575209.5718558212,full_temporal,mlp
44,raw_plus_hidden_temporal_linear,20000,5000,576,5770,0,384,0.02088066376745701,0.903,0.9056,0.5121268109999164,48816.0343552177,1.0943436780000866,0.0066162820000954525,755711.4403418514,raw_plus_hidden_temporal,linear
