steps,mean_net_fitness_per_1000_steps,mean_shaped_reward_per_1000_steps,mean_policy_entropy,mean_training_loss,mean_training_reward_per_1000_steps,training_updates,maximum_score_gradient_error,policy_weight_delta_norm,seed,strategy,phase
300,0.7433333496252695,0.7544535540320794,1.3620306253433228,,,0,,,169,static_linear_policy,baseline
300,0.7433333496252695,0.7544535540320794,1.3620306253433228,0.0,0.0,0,0.0,0.0,169,static_linear_policy,evaluation
300,11.143333911895752,11.137341812693824,0.0,,,0,,,169,oracle_food_reflex,baseline
300,11.143333911895752,11.137341812693824,0.0,0.0,0.0,0,0.0,0.0,169,oracle_food_reflex,evaluation
300,0.7433333496252695,0.7544535540320794,1.3620306253433228,,,0,,,169,autograd_score_policy,baseline
300,0.77333336075147,0.744553197757632,1.3618767261505127,2.1558807300910606e-05,0.0031259489680491646,60,0.0,0.0015489233192056417,169,autograd_score_policy,evaluation
300,0.7433333496252695,0.7544535540320794,1.3620306253433228,,,0,,,169,manual_local_score_policy,baseline
300,0.77333336075147,0.744553197757632,1.3618768453598022,2.1559228487907e-05,0.0031259489680491646,60,1.862645149230957e-09,0.0015498289139941335,169,manual_local_score_policy,evaluation
300,0.7433333496252695,0.7544535540320794,1.3620306253433228,,,0,,,169,manual_local_shuffled_reward,baseline
300,0.5200000107288361,0.5490560266889709,1.3614630699157715,6.461694283643737e-05,0.006251664897693748,60,1.8917489796876907e-09,0.0002941895218100399,169,manual_local_shuffled_reward,evaluation
300,-0.18333334475755692,-0.2236506600024101,1.3489458560943604,,,0,,,170,static_linear_policy,baseline
300,-0.18333334475755692,-0.2236506600024101,1.3489458560943604,0.0,0.0,0,0.0,0.0,170,static_linear_policy,evaluation
300,9.286666711171469,9.283765738600245,0.0,,,0,,,170,oracle_food_reflex,baseline
300,9.286666711171469,9.283765738600245,0.0,0.0,0.0,0,0.0,0.0,170,oracle_food_reflex,evaluation
300,-0.18333334475755692,-0.2236506600024101,1.3489458560943604,,,0,,,170,autograd_score_policy,baseline
300,-0.013333333966632685,-0.012274654193024617,1.3490872383117676,-0.00033944292866484226,0.025807713259038995,60,0.0,0.00025032617850229144,170,autograd_score_policy,evaluation
300,-0.18333334475755692,-0.2236506600024101,1.3489458560943604,,,0,,,170,manual_local_score_policy,baseline
300,-0.013333333966632685,-0.012274654193024617,1.3490874767303467,-0.000339441790250324,0.025807713259038995,60,2.7939677238464355e-09,0.0002509905316401273,170,manual_local_score_policy,evaluation
300,-0.18333334475755692,-0.2236506600024101,1.3489458560943604,,,0,,,170,manual_local_shuffled_reward,baseline
300,-0.1333333427707354,-0.1632020591571442,1.349358081817627,0.0003527329149316453,0.02582484283153058,60,2.2118911147117615e-09,0.00022290060587693006,170,manual_local_shuffled_reward,evaluation
300,-0.21000000337759653,-0.21716375392473614,1.3668076992034912,,,0,,,171,static_linear_policy,baseline
300,-0.21000000337759653,-0.21716375392473614,1.3668076992034912,0.0,0.0,0,0.0,0.0,171,static_linear_policy,evaluation
300,10.096666812896729,10.099736364148557,0.0,,,0,,,171,oracle_food_reflex,baseline
300,10.096666812896729,10.099736364148557,0.0,0.0,0.0,0,0.0,0.0,171,oracle_food_reflex,evaluation
300,-0.21000000337759653,-0.21716375392473614,1.3668076992034912,,,0,,,171,autograd_score_policy,baseline
300,0.1400000105301539,0.13886530966032296,1.3669078350067139,-0.0007054710397521073,-0.12165509037298357,60,0.0,0.0010496439645066857,171,autograd_score_policy,evaluation
300,-0.21000000337759653,-0.21716375392473614,1.3668076992034912,,,0,,,171,manual_local_score_policy,baseline
300,0.1400000105301539,0.13886530966032296,1.3669078350067139,-0.0007054703485967669,-0.12165509037298357,60,2.3283064365386963e-09,0.001049919635988772,171,manual_local_score_policy,evaluation
300,-0.21000000337759653,-0.21716375392473614,1.3668076992034912,,,0,,,171,manual_local_shuffled_reward,baseline
300,-0.23333333432674408,-0.24024083872985405,1.3667998313903809,-9.042168590175e-05,-0.11422404990221063,60,2.3283064365386963e-09,0.0002487330057192594,171,manual_local_shuffled_reward,evaluation
