steps,mean_net_fitness_per_1000_steps,mean_shaped_reward_per_1000_steps,mean_policy_entropy,mean_evaluation_spike_density,mean_training_loss,mean_training_reward_per_1000_steps,training_updates,maximum_score_gradient_error,policy_weight_delta_norm,mean_training_spike_density,seed,strategy,phase
300,-0.9200000762939453,-0.9146246337890624,1.3350871801376343,0.18107125,,,0,,,,172,static_spiking_policy,baseline
300,-0.9200000762939453,-0.9146246337890624,1.3350871801376343,0.18107125,0.0,0.0,0,0.0,0.0,0.0,172,static_spiking_policy,evaluation
300,9.40666675567627,9.4029736328125,0.0,0.0,,,0,,,,172,oracle_food_reflex,baseline
300,9.40666675567627,9.4029736328125,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,172,oracle_food_reflex,evaluation
300,-0.16666666915019354,-0.16190503438313802,1.3425077199935913,0.0,,,0,,,,172,manual_analog_score_policy,baseline
300,-0.12666667501131693,-0.12708201090494792,1.3405896425247192,0.0,-0.0006549979084714626,-0.27754994710286457,60,2.561137080192566e-09,0.0028934036381542683,0.0,172,manual_analog_score_policy,evaluation
300,-0.9200000762939453,-0.9146246337890624,1.3350871801376343,0.18107125,,,0,,,,172,manual_spiking_score_policy,baseline
300,-2.900000214576721,-2.8992207845052085,1.3313965797424316,0.19193166666666667,-0.0009032006955142909,-0.23693601820203994,60,2.3283064365386963e-09,0.0028433871921151876,0.13512388888888888,172,manual_spiking_score_policy,evaluation
300,-0.9200000762939453,-0.9146246337890624,1.3350871801376343,0.18107125,,,0,,,,172,manual_spiking_shuffled_reward,baseline
300,0.77333336075147,0.782660166422526,1.3393703699111938,0.18689833333333333,4.703654851709871e-05,-0.5700003390842013,60,2.3283064365386963e-09,0.0008908234303817153,0.14499361111111111,172,manual_spiking_shuffled_reward,evaluation
300,-0.39666667580604553,-0.40898966471354165,1.370202660560608,0.05369541666666667,,,0,,,,173,static_spiking_policy,baseline
300,-0.39666667580604553,-0.40898966471354165,1.370202660560608,0.05369541666666667,0.0,0.0,0,0.0,0.0,0.0,173,static_spiking_policy,evaluation
300,7.690000534057617,7.689646809895834,0.0,0.0,,,0,,,,173,oracle_food_reflex,baseline
300,7.690000534057617,7.689646809895834,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,173,oracle_food_reflex,evaluation
300,0.28333333631356555,0.28779159545898436,1.3708786964416504,0.0,,,0,,,,173,manual_analog_score_policy,baseline
300,0.620000014702479,0.6124534606933594,1.3707857131958008,0.0,-8.684740453380376e-05,0.07174471537272135,60,3.725290298461914e-09,0.0008953527431003749,0.0,173,manual_analog_score_policy,evaluation
300,-0.39666667580604553,-0.40898966471354165,1.370202660560608,0.05369541666666667,,,0,,,,173,manual_spiking_score_policy,baseline
300,-0.3800000250339508,-0.3923106638590495,1.370100498199463,0.05364375,-0.00048597072171408705,0.05488958994547526,60,3.725290298461914e-09,0.0007741301087662578,0.014024861111111111,173,manual_spiking_score_policy,evaluation
300,-0.39666667580604553,-0.40898966471354165,1.370202660560608,0.05369541666666667,,,0,,,,173,manual_spiking_shuffled_reward,baseline
300,-0.3433333585659663,-0.3399117787679036,1.3696157932281494,0.054739166666666665,6.901323628577908e-05,0.035599844190809464,60,1.862645149230957e-09,0.00032033026218414307,0.014013958333333333,173,manual_spiking_shuffled_reward,evaluation
300,-1.226666768391927,-1.276156717936198,1.3661922216415405,0.10802541666666667,,,0,,,,174,static_spiking_policy,baseline
300,-1.226666768391927,-1.276156717936198,1.3661922216415405,0.10802541666666667,0.0,0.0,0,0.0,0.0,0.0,174,static_spiking_policy,evaluation
300,7.863334019978841,7.86652099609375,0.0,0.0,,,0,,,,174,oracle_food_reflex,baseline
300,7.863334019978841,7.86652099609375,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,174,oracle_food_reflex,evaluation
300,-0.40333335598309833,-0.3783256530761719,1.3729292154312134,0.0,,,0,,,,174,manual_analog_score_policy,baseline
300,-0.7666666805744171,-0.7668663024902344,1.3747295141220093,0.0,-0.00021261158869189482,0.13864114549424914,60,2.3283064365386963e-09,0.0011163237504661083,0.0,174,manual_analog_score_policy,evaluation
300,-1.226666768391927,-1.276156717936198,1.3661922216415405,0.10802541666666667,,,0,,,,174,manual_spiking_score_policy,baseline
300,-0.43666670719782513,-0.43863062540690106,1.3709434270858765,0.11677875,-0.0006824002112201318,0.0941827646891276,60,2.3283064365386963e-09,0.0015145627548918128,0.04192243055555556,174,manual_spiking_score_policy,evaluation
300,-1.226666768391927,-1.276156717936198,1.3661922216415405,0.10802541666666667,,,0,,,,174,manual_spiking_shuffled_reward,baseline
300,-0.9900000691413879,-0.970684305826823,1.3728275299072266,0.11038375,8.068022301207141e-05,0.11055416531032985,60,1.8044374883174896e-09,0.0005028442828916013,0.043076388888888886,174,manual_spiking_shuffled_reward,evaluation
