generation,epoch,max_fitness,mean_population_fitness,mean_active_synapses,sprout_count,prune_count,ltw_mutation_count
1,1,12.0,-0.10029999911785126,9.155599594116211,11990,434,40000
2,2,9.0,-0.05979999899864197,10.314399719238281,11981,469,45816
3,3,12.0,0.26659998297691345,11.437399864196777,11668,484,51595
4,4,11.0,-0.8091999888420105,12.539999961853027,11820,552,57066
5,5,14.0,0.3588999807834625,13.623899459838867,11659,598,62589
6,6,14.0,-0.4527999758720398,14.713099479675293,11483,660,68154
7,7,16.0,0.8693000078201294,15.79789924621582,11357,710,73666
8,8,13.0,-0.3868999779224396,16.855098724365234,11355,780,78988
9,9,15.0,0.46379998326301575,17.8760986328125,11114,893,84270
10,10,15.0,0.6110000014305115,18.804698944091797,11203,890,88867
11,11,15.0,-0.32359999418258667,19.812599182128906,10873,923,94088
12,12,17.0,-0.4903999865055084,20.784000396728516,11032,990,98899
13,13,17.0,0.2825999855995178,21.81060028076172,10893,1049,104131
14,14,15.0,0.18369999527931213,22.7593994140625,10686,1066,108987
15,15,15.0,0.604200005531311,23.702999114990234,10591,1083,113761
16,16,18.0,0.019099999219179153,24.734699249267578,10585,1184,118973
17,17,20.0,0.09690000116825104,25.61669921875,10198,1199,123584
18,18,21.0,0.2451999932527542,26.47559928894043,10222,1252,127893
19,19,17.0,-0.17249999940395355,27.277599334716797,10144,1372,132002
20,20,15.0,-0.40789997577667236,28.116600036621094,10071,1407,136251
21,21,17.0,-0.10939999669790268,28.944198608398438,9946,1450,140473
22,22,18.0,0.3958999812602997,29.72599983215332,10002,1428,144343
23,23,16.0,-0.6987999677658081,30.579898834228516,9910,1441,148665
24,24,19.0,-0.31700000166893005,31.47369956970215,9925,1492,153152
25,25,16.0,-0.5855000019073486,32.286598205566406,9768,1588,157343
26,26,19.0,-0.19119998812675476,33.13129806518555,9568,1631,161688
27,27,16.0,-0.24650000035762787,33.92169952392578,9586,1589,165610
28,28,17.0,0.04800000041723251,34.62220001220703,9391,1681,169256
29,29,17.0,-0.20419999957084656,35.424598693847656,9345,1757,173329
30,30,15.0,-0.23429998755455017,36.09469985961914,9294,1823,176738
31,31,19.0,0.9727999567985535,36.765499114990234,9162,1723,180108
32,32,16.0,-0.07499999552965164,37.48259735107422,9053,1811,183792
33,33,21.0,-0.07259999960660934,38.29039764404297,9111,1855,187824
34,34,19.0,-0.37439998984336853,39.097198486328125,8887,1919,192002
35,35,18.0,-0.12780000269412994,39.76530075073242,8950,1883,195293
36,36,18.0,0.10439999401569366,40.32149887084961,8750,2015,198240
37,37,18.0,-0.0705999955534935,41.01089859008789,8979,1992,201561
38,38,18.0,-0.3789999783039093,41.73059844970703,8844,2028,205245
39,39,19.0,0.24379999935626984,42.280399322509766,8671,2067,208100
40,40,17.0,-0.12849999964237213,42.87369918823242,8545,2070,211131
41,41,18.0,0.07779999822378159,43.51219940185547,8601,2055,214288
42,42,18.0,-0.4968999922275543,44.312599182128906,8422,2192,218448
43,43,20.0,-0.6949999928474426,44.913700103759766,8309,2246,221537
44,44,18.0,-0.296099990606308,45.53669738769531,8402,2293,224629
45,45,17.0,-0.4220999777317047,46.162498474121094,8178,2261,227854
46,46,20.0,0.07499999552965164,46.734100341796875,8268,2299,230686
47,47,15.0,-0.8228999972343445,47.38990020751953,8245,2326,233990
48,48,21.0,0.2890999913215637,47.886199951171875,8178,2312,236498
49,49,20.0,0.29339998960494995,48.53730010986328,8077,2410,239853
50,50,15.0,-0.6681999564170837,49.02409744262695,8008,2393,242313
51,51,21.0,-0.2295999974012375,49.634300231933594,7804,2379,245459
52,52,18.0,-0.007400000002235174,50.04079818725586,7846,2480,247521
53,53,16.0,-0.32999998331069946,50.57609939575195,7829,2430,250181
54,54,19.0,0.10399999469518661,51.13520050048828,7791,2563,253062
55,55,19.0,0.07530000060796738,51.7504997253418,7733,2612,256192
56,56,17.0,0.7303000092506409,52.223697662353516,7614,2555,258589
57,57,22.0,0.5927000045776367,52.818397521972656,7564,2684,261652
58,58,20.0,0.14339999854564667,53.324398040771484,7520,2592,264158
59,59,18.0,-0.2786000072956085,53.75539779663086,7436,2580,266349
60,60,20.0,-0.10329999774694443,54.221099853515625,7504,2723,268715
61,61,18.0,-0.32999998331069946,54.70209884643555,7387,2690,271162
62,62,21.0,-0.4178999960422516,55.22679901123047,7395,2763,273818
63,63,16.0,0.33219999074935913,55.57550048828125,7273,2742,275612
64,64,21.0,0.07459999620914459,55.925697326660156,7286,2795,277383
65,65,17.0,-0.12069999426603317,56.326499938964844,7363,2792,279347
66,66,21.0,-0.3926999866962433,56.777198791503906,7111,2831,281746
67,67,18.0,-0.034299999475479126,57.24580001831055,7237,2769,283995
68,68,17.0,-0.06209999695420265,57.67399978637695,7152,2786,286187
69,69,19.0,0.31219998002052307,58.16559982299805,6996,2930,288795
70,70,20.0,-0.468999981880188,58.52299880981445,6915,2981,290648
71,71,18.0,0.4059000015258789,58.864097595214844,7047,2834,292214
72,72,18.0,-0.36249998211860657,59.321998596191406,7021,2897,294548
73,73,17.0,-0.052400000393390656,59.59499740600586,6874,2938,296007
74,74,16.0,-0.13279999792575836,60.031497955322266,6864,3023,298237
75,75,16.0,0.0017999999690800905,60.46080017089844,6927,2977,300329
76,76,21.0,0.1915999948978424,60.94669723510742,6955,2964,302738
77,77,22.0,0.26919999718666077,61.36009979248047,6588,2987,305000
78,78,20.0,-0.2784999907016754,61.71929931640625,6916,3011,306644
79,79,19.0,0.31700000166893005,62.071998596191406,6747,3087,308530
80,80,18.0,-0.007699999958276749,62.45249938964844,6579,2968,310457
81,81,19.0,0.15629999339580536,62.656898498535156,6677,3220,311556
82,82,19.0,0.5153999924659729,62.896297454833984,6538,3183,312804
83,83,22.0,0.2705000042915344,63.35919952392578,6524,3130,315099
84,84,18.0,-0.24409998953342438,63.745399475097656,6559,3101,316998
85,85,18.0,0.30169999599456787,64.01300048828125,6502,3084,318356
86,86,21.0,-0.11469999700784683,64.43470001220703,6510,3217,320527
87,87,15.0,-0.420199990272522,64.71029663085938,6402,3291,321996
88,88,20.0,-0.3240000009536743,64.95500183105469,6385,3203,323184
89,89,20.0,0.21809999644756317,65.3240966796875,6350,3297,325094
90,90,20.0,-0.19489999115467072,65.61579895019531,6393,3223,326494
91,91,18.0,0.34219998121261597,65.87689971923828,6290,3287,327883
92,92,20.0,0.13189999759197235,66.11830139160156,6144,3303,329171
93,93,19.0,-0.11229999363422394,66.42829895019531,6155,3354,330741
94,94,17.0,0.03909999877214432,66.71599578857422,6080,3324,332202
95,95,19.0,-0.3199000060558319,66.96710205078125,6163,3348,333428
96,96,18.0,0.07849999517202377,67.214599609375,6115,3281,334656
97,97,17.0,-0.1396999955177307,67.55169677734375,6267,3290,336270
98,98,18.0,0.35679998993873596,67.79299926757812,6045,3353,337619
99,99,19.0,-0.16290000081062317,68.08699798583984,5988,3390,339136
100,100,21.0,0.18529999256134033,68.30089569091797,6061,3474,340211
101,101,18.0,-0.08489999920129776,68.4656982421875,6084,3375,340974
102,102,20.0,-0.1437000036239624,68.80239868164062,6047,3433,342705
103,103,21.0,0.2736999988555908,69.13569641113281,6052,3481,344393
104,104,16.0,-0.14309999346733093,69.39810180664062,5980,3391,345696
105,105,19.0,0.5388999581336975,69.52759552001953,5988,3392,346340
106,106,18.0,0.3304999768733978,69.82809448242188,5834,3473,347960
107,107,20.0,0.1492999941110611,70.1209945678711,6016,3462,349328
108,108,17.0,-0.16179999709129333,70.32460021972656,5716,3506,350518
109,109,17.0,-0.1655000001192093,70.52040100097656,5816,3546,351467
110,110,19.0,-0.07800000160932541,70.72339630126953,5806,3530,352479
111,111,20.0,-0.20160000026226044,70.85549926757812,5683,3644,353258
112,112,17.0,0.023899998515844345,71.11479949951172,5855,3497,354395
113,113,20.0,-0.10359999537467957,71.3384017944336,5761,3559,355591
