arm,classifier,schedule,scope,reservoir_learning_rate,surrogate_slope,seeds,mean_test_accuracy,std_test_accuracy,mean_accuracy_gain_vs_frozen,improved_seed_count,practical_gain_seed_count,active_edges,scope_trainable_edges,effective_trainable_parameters,mean_event_rate_ratio,mean_absolute_ltw_change,mean_sensor_ltw_change,mean_recurrent_ltw_change,mean_lower_ltw_saturation_rate,mean_upper_ltw_saturation_rate,mean_train_seconds,mean_end_to_end_examples_per_second
frozen,linear,frozen,none,0.0,10.0,3,0.9151333333333334,0.0004714045207910321,0.0,0,0,384,0,10250,1.0,0.0,0.0,0.0,0.0,0.0,3.446555037666561,107057.0786212739
frozen,mlp,frozen,none,0.0,10.0,3,0.9255999999999999,0.0015577761927397082,0.0,0,0,384,0,34165,1.0,0.0,0.0,0.0,0.0,0.0,3.5756910789999288,113219.69591921585
joint_all_1em3_s10,linear,joint,all,0.001,10.0,3,0.9129999999999999,0.001177568115510388,-0.0021333333333332836,0,0,384,384,10634,1.7144541781653493,0.1082599659760793,0.13707619905471802,0.09385184198617935,0.027777778605620067,0.049479169150193535,5.899415455333535,124168.61492596591
joint_all_1em3_s10,mlp,joint,all,0.001,10.0,3,0.923,0.0012961481396815664,-0.00260000000000001,1,0,384,384,34549,1.1431112075967462,0.062424675871928535,0.07498480876286824,0.05614460880557696,0.014756944651405016,0.005208333410943548,5.656554720666463,112129.30655897863
warm_all_1em4_s5,linear,warmup,all,0.0001,5.0,3,0.9157333333333333,0.00024944382578494153,0.0006000000000000449,2,0,384,384,10634,1.0116013619666913,0.006745864016314347,0.009184221426645914,0.0055266850007077055,0.0,0.0,5.538597522999832,114398.4759318193
warm_all_1em4_s5,mlp,warmup,all,0.0001,5.0,3,0.9248,0.0011313708498984561,-0.0007999999999999489,0,0,384,384,34549,1.0001716427580787,0.0034213120428224406,0.0036199892250200114,0.003321973063672582,0.0,0.0,6.230738685666438,104519.96901562932
warm_all_3em4_s5,linear,warmup,all,0.0003,5.0,3,0.9159333333333333,0.00033993463423953233,0.0008000000000000229,3,0,384,384,10634,1.0349943812568627,0.0195949034144481,0.026406478757659595,0.01618911512196064,0.0,0.0,6.062779159333331,107004.99635852112
warm_all_3em4_s5,mlp,warmup,all,0.0003,5.0,3,0.9251999999999999,0.001451436070471845,-0.00039999999999999297,0,0,384,384,34549,1.0043046572906897,0.010053131729364395,0.010612500831484795,0.009773446867863337,0.0,0.0,5.576547972666655,110550.03938701421
warm_all_1em4_s10,linear,warmup,all,0.0001,10.0,3,0.9156666666666666,0.0002494438257849514,0.0005333333333333856,2,0,384,384,10634,1.0120029453372916,0.006774282393356164,0.009269461035728455,0.0055266924512883025,0.0,0.0,5.485984695999832,113812.96116348323
warm_all_1em4_s10,mlp,warmup,all,0.0001,10.0,3,0.9248666666666666,0.0010873004286866574,-0.0007333333333332895,0,0,384,384,34549,1.0004668331470665,0.003431956982240081,0.0036469132949908576,0.0033244788646698,0.0,0.0,6.25187450033324,104692.78626873049
warm_all_3em4_s10,linear,warmup,all,0.0003,10.0,3,0.9159999999999999,0.0002828427124746402,0.0008666666666666822,3,0,384,384,10634,1.0357248261390175,0.019645315905412037,0.02666437563796838,0.01613578572869301,0.0,0.0,6.103251802000159,110727.98316835907
warm_all_3em4_s10,mlp,warmup,all,0.0003,10.0,3,0.9256000000000001,0.0010198039027185825,3.700743415417188e-17,2,0,384,384,34549,1.0051625090738008,0.010100130923092365,0.010710127651691437,0.009795132093131542,0.0,0.0,5.620366699333317,109737.90172924292
warm_sensor_3em4_s10,linear,warmup,sensor,0.0003,10.0,3,0.9157333333333333,0.00024944382578494153,0.0006000000000000449,2,0,384,128,10378,1.0338398752016682,0.008999788202345371,0.02699936367571354,0.0,0.0,0.0,5.602640771333124,125511.13719371588
warm_sensor_3em4_s10,mlp,warmup,sensor,0.0003,10.0,3,0.9253333333333332,0.0016357125528513737,-0.0002666666666666373,1,0,384,128,34293,1.0045151614307928,0.0035846283038457236,0.01075388491153717,0.0,0.0,0.0,6.107656746666787,97978.32689677305
warm_recurrent_3em4_s10,linear,warmup,recurrent,0.0003,10.0,3,0.915,0.000489897948556627,-0.00013333333333328165,1,0,384,256,10506,0.9985492254788065,0.010751479615767797,0.0,0.016127218802769978,0.0,0.0,5.98637546466701,92372.18269221018
warm_recurrent_3em4_s10,mlp,warmup,recurrent,0.0003,10.0,3,0.9253333333333332,0.001611072796479255,-0.0002666666666666373,0,0,384,256,34421,0.9993157661583734,0.006516553927212954,0.0,0.009774830813209215,0.0,0.0,5.791724038666264,121753.74766435007
