generation,mean_best_fitness,std_best_fitness,min_best_fitness,max_best_fitness,mean_population_fitness,mean_active_synapses
1,8.9,1.1972189997378648,7.0,11.0,0.11083999816328287,9.162899780273438
2,10.3,0.8232726023485646,9.0,12.0,-0.05505999270826578,10.30208969116211
3,11.3,1.1595018087284057,9.0,13.0,0.25268999016843735,11.4033597946167
4,12.7,1.2516655570345725,11.0,15.0,0.050130002200603485,12.509249591827393
5,14.2,1.7511900715418263,12.0,17.0,0.013830002676695586,13.60932960510254
6,14.4,1.577621275493231,13.0,17.0,-0.06405999660491943,14.68796968460083
7,14.7,1.5670212364724212,13.0,17.0,0.153299992531538,15.761669635772705
8,15.5,1.1785113019775793,14.0,17.0,0.15962999388575555,16.806709671020506
9,15.9,1.1005049346146119,14.0,17.0,0.11087999492883682,17.816809463500977
10,16.6,0.5163977794943222,16.0,17.0,0.10342999510467052,18.802309417724608
11,17.1,0.7378647873726218,16.0,19.0,-0.10912000127136708,19.77504959106445
12,17.1,0.7378647873726218,16.0,19.0,0.15351999513804912,20.721719551086426
13,17.5,0.8498365855987975,17.0,19.0,0.1513499967753887,21.675089645385743
14,17.7,0.8232726023485646,17.0,19.0,-0.16989999525249005,22.62035961151123
15,17.9,0.8755950357709131,17.0,19.0,0.14134999737143517,23.54885940551758
16,18.2,1.0327955589886444,17.0,20.0,-0.05065999832004309,24.49340934753418
17,18.6,1.2649110640673518,17.0,21.0,0.012570000439882278,25.41422939300537
18,18.9,0.9944289260117533,18.0,21.0,0.0030100010335445404,26.33814926147461
19,19.4,1.07496769977314,18.0,21.0,-0.19780999347567557,27.230949211120606
20,20.0,1.0540925533894598,18.0,21.0,0.13158999737352134,28.109719276428223
21,20.2,0.7888106377466155,19.0,21.0,-0.1269899956882,28.946289443969725
22,20.6,1.07496769977314,19.0,23.0,0.14445999637246132,29.783499336242677
23,20.8,1.1352924243950933,19.0,23.0,0.15533999875187873,30.61487922668457
24,21.1,0.9944289260117533,20.0,23.0,-0.13890999931609258,31.448669052124025
25,21.1,0.9944289260117533,20.0,23.0,-0.1006600028835237,32.26711940765381
26,21.1,0.9944289260117533,20.0,23.0,0.08185999672859907,33.02827949523926
27,21.1,0.9944289260117533,20.0,23.0,0.05938000027090311,33.83179969787598
