feature,classifier,topology,seeds,mean_test_accuracy,std_test_accuracy,mean_accuracy_gain_vs_sensor,mean_recurrence_gain,recurrence_improved_seed_count,active_edges,feature_dim,trainable_parameters,mean_hidden_event_rate,mean_feature_seconds,mean_feature_examples_per_second,mean_train_seconds
raw_intensity,linear,raw,3,0.8593999999999999,0.001177568115510388,-0.03846666666666665,0.0,0,0,64,650,0.0,0.0,0.0,0.6998934536668457
raw_intensity,mlp,raw,3,0.9514,0.0017663521732656012,0.029266666666666625,0.0,0,0,64,34210,0.0,0.0,0.0,0.8240764643333023
sensor_temporal,linear,sensor,3,0.8978666666666667,0.000573488351136155,0.0,0.0,0,0,512,5130,0.0,0.4013109813331539,62863.13301999088,0.93851375200029
sensor_temporal,mlp,sensor,3,0.9221333333333334,0.0034305814214049463,0.0,0.0,0,0,512,34005,0.0,0.4013109813331539,62863.13301999088,1.072885117666677
hidden_feedforward_temporal,linear,feedforward,3,0.8939333333333334,0.002264705033528431,-0.003933333333333344,0.0,0,128,512,5130,0.02119407554467519,0.46991440033373993,55546.90477852832,0.9735548076669147
hidden_feedforward_temporal,mlp,feedforward,3,0.9238666666666666,0.0035975300168618984,0.0017333333333332905,0.0,0,128,512,34005,0.02119407554467519,0.46991440033373993,55546.90477852832,1.0981811983335017
full_feedforward_temporal,linear,feedforward,3,0.9140666666666667,0.0004714045207910321,0.016199999999999992,0.0,0,128,1024,10250,0.02119407554467519,0.46991440033373993,55546.90477852832,1.152951010666887
full_feedforward_temporal,mlp,feedforward,3,0.9261333333333334,0.0017461067804944988,0.003999999999999966,0.0,0,128,1024,34165,0.02119407554467519,0.46991440033373993,55546.90477852832,1.2965948989998044
hidden_recurrent_temporal,linear,recurrent,3,0.8952666666666667,0.0023795424396766103,-0.00260000000000001,0.0013333333333333346,2,384,512,5130,0.02367747388780117,0.4013109813331539,62863.13301999088,0.9571509420002258
hidden_recurrent_temporal,mlp,recurrent,3,0.9251333333333335,0.002106075866524182,0.0030000000000000027,0.0012666666666667121,1,384,512,34005,0.02367747388780117,0.4013109813331539,62863.13301999088,1.1869946946665852
full_recurrent_temporal,linear,recurrent,3,0.9151333333333334,0.0004714045207910321,0.017266666666666614,0.0010666666666666231,3,384,1024,10250,0.02367747388780117,0.4013109813331539,62863.13301999088,1.2333521480001461
full_recurrent_temporal,mlp,recurrent,3,0.9255999999999999,0.0015577761927397082,0.003466666666666618,-0.0005333333333333486,0,384,1024,34165,0.02367747388780117,0.4013109813331539,62863.13301999088,1.3977813586664827
