seed,model,train_samples,test_samples,feature_dim,trainable_parameters,classifier_hidden_units,frozen_active_edges,mean_hidden_spike_rate,train_accuracy,test_accuracy,feature_seconds,feature_examples_per_second,train_seconds,inference_seconds,inference_examples_per_second,feature,classifier,topology,accuracy_gain_vs_last_row,accuracy_gain_vs_integrated_rows,paired_feedforward_test_accuracy,recurrence_gain
42,raw_flattened_linear,20000,5000,64,650,0,0,0.0,0.83975,0.8598,0.0,0.0,0.7961379570006102,0.0021303230005287332,2347061.923829875,raw_flattened,linear,raw,0.6286,0.5116,0.8598,0.0
42,raw_flattened_mlp,20000,5000,64,17785,237,0,0.0,0.94245,0.9424,0.0,0.0,0.8682233939998696,0.002976669999952719,1679729.3620318742,raw_flattened,mlp,raw,0.506,0.455,0.9424,0.0
42,last_row_linear,20000,5000,8,90,0,0,0.0,0.23115,0.2312,0.0,0.0,0.7028316080004515,0.0020906609997837222,2391588.1152024395,last_row,linear,last_row,0.0,-0.11700000000000002,0.2312,0.0
42,last_row_mlp,20000,5000,8,17794,936,0,0.0,0.4421,0.4364,0.0,0.0,0.8097852170003534,0.0028006590000586584,1785294.1039574177,last_row,mlp,last_row,0.0,-0.05099999999999999,0.4364,0.0
42,integrated_rows_linear,20000,5000,8,90,0,0,0.0,0.3339,0.3482,0.0,0.0,0.6435119710004074,0.0017407899995305343,2872259.147483859,integrated_rows,linear,orderless,0.11700000000000002,0.0,0.3482,0.0
42,integrated_rows_mlp,20000,5000,8,17794,936,0,0.0,0.4613,0.4874,0.0,0.0,0.779605323999931,0.002481617999364971,2014814.5287789924,integrated_rows,mlp,orderless,0.05099999999999999,0.0,0.4874,0.0
42,hidden_feedforward_final_linear,20000,5000,128,1290,0,16,0.01444345703125,0.3211,0.321,0.3162060449994897,79062.37213156487,0.740959312999621,0.0026269169993611285,1903371.899917664,hidden_feedforward_final,linear,feedforward,0.08980000000000002,-0.027200000000000002,0.321,0.0
42,hidden_feedforward_final_mlp,20000,5000,128,17802,128,16,0.01444345703125,0.38805,0.379,0.3162060449994897,79062.37213156487,0.8588785520005331,0.003155410000545089,1584580.1335282142,hidden_feedforward_final,mlp,feedforward,-0.05740000000000001,-0.1084,0.379,0.0
42,hidden_recurrent_final_linear,20000,5000,128,1290,0,272,0.0160876953125,0.43865,0.4486,0.16713190199970995,149582.4537438902,0.7304146619999301,0.003731572000106098,1339917.8683562416,hidden_recurrent_final,linear,recurrent,0.2174,0.10039999999999999,0.321,0.1276
42,hidden_recurrent_final_mlp,20000,5000,128,17802,128,272,0.0160876953125,0.56045,0.5624,0.16713190199970995,149582.4537438902,0.8689282250006727,0.003220958000383689,1552333.1876430511,hidden_recurrent_final,mlp,recurrent,0.126,0.07500000000000001,0.379,0.1834
43,raw_flattened_linear,20000,5000,64,650,0,0,0.0,0.8411,0.8578,0.0,0.0,0.6898066869998729,0.00222707599914429,2245096.2616099096,raw_flattened,linear,raw,0.6306,0.506,0.8578,0.0
43,raw_flattened_mlp,20000,5000,64,17785,237,0,0.0,0.93825,0.9412,0.0,0.0,0.8661383440003192,0.003525396999975783,1418279.9837959658,raw_flattened,mlp,raw,0.4882,0.45680000000000004,0.9412,0.0
43,last_row_linear,20000,5000,8,90,0,0,0.0,0.21735,0.2272,0.0,0.0,0.699023202000717,0.0023935609997352003,2088937.779548192,last_row,linear,last_row,0.0,-0.12459999999999999,0.2272,0.0
43,last_row_mlp,20000,5000,8,17794,936,0,0.0,0.45535,0.453,0.0,0.0,0.9076976680007647,0.003253867000239552,1536633.1812676722,last_row,mlp,last_row,0.0,-0.031399999999999983,0.453,0.0
43,integrated_rows_linear,20000,5000,8,90,0,0,0.0,0.3366,0.3518,0.0,0.0,0.644362486999853,0.001912632000312442,2614198.6535743494,integrated_rows,linear,orderless,0.12459999999999999,0.0,0.3518,0.0
