feature,classifier,topology,seeds,mean_test_accuracy,std_test_accuracy,mean_gain_vs_last_row,mean_gain_vs_integrated_rows,mean_recurrence_gain,recurrence_improved_seed_count,active_edges,feature_dim,trainable_parameters,mean_hidden_event_rate,mean_feature_seconds,mean_feature_examples_per_second,mean_train_seconds
raw_flattened,linear,raw,3,0.8593999999999999,0.001177568115510388,0.6278,0.5115333333333334,0.0,0,0,64,650,0.0,0.0,0.0,0.7176873720003035
raw_flattened,mlp,raw,3,0.9420666666666667,0.0006182412330330308,0.5007333333333334,0.45880000000000004,0.0,0,0,64,17785,0.0,0.0,0.0,0.853036300666948
last_row,linear,last_row,3,0.2316,0.0037665191711534706,0.0,-0.11626666666666667,0.0,0,0,8,90,0.0,0.0,0.0,0.6750812750005935
last_row,mlp,last_row,3,0.44133333333333336,0.00828224338905563,0.0,-0.04193333333333332,0.0,0,0,8,17794,0.0,0.0,0.0,0.8342447476670714
integrated_rows,linear,orderless,3,0.3478666666666667,0.0033559234529741857,0.11626666666666667,0.0,0.0,0,0,8,90,0.0,0.0,0.0,0.6331298420000167
integrated_rows,mlp,orderless,3,0.4832666666666667,0.0039203174474637835,0.04193333333333332,0.0,0.0,0,0,8,17794,0.0,0.0,0.0,0.8167258379999112
hidden_feedforward_final,linear,feedforward,3,0.32180000000000003,0.006068497892120139,0.09020000000000002,-0.026066666666666665,0.0,0,16,128,1290,0.014548404947916668,0.2217718749998312,122005.8691503457,0.7333686883333334
hidden_feedforward_final,mlp,feedforward,3,0.38306666666666667,0.00691343297903114,-0.05826666666666667,-0.1002,0.0,0,16,128,17802,0.014548404947916668,0.2217718749998312,122005.8691503457,0.8636147310001737
hidden_recurrent_final,linear,recurrent,3,0.4385333333333333,0.010172293524842654,0.20693333333333333,0.09066666666666666,0.11673333333333331,3,272,128,1290,0.015313411458333334,0.16844649166675177,148420.55890323326,0.7361480819999997
hidden_recurrent_final,mlp,recurrent,3,0.5554666666666667,0.005034105900974108,0.11413333333333332,0.0722,0.1724,3,272,128,17802,0.015313411458333334,0.16844649166675177,148420.55890323326,0.8904327316668059
