seed,arm,model_kind,readout_kind,hidden_neurons,reservoir_threshold,delay_pattern,train_accuracy,test_accuracy,active_edges,delayed_edges,effective_trainable_parameters,allocated_trainable_parameters,initial_hidden_event_rate,final_hidden_event_rate,event_rate_ratio,mean_absolute_ltw_change,lower_ltw_saturation_rate,upper_ltw_saturation_rate,train_seconds,inference_seconds,test_examples_per_second,gain_vs_sparse_linear,gain_vs_mlp_no_delay,gain_vs_base_distance,gain_vs_relevant_control
42,event_count_linear,count,linear,128,1.0,none,0.6025012260912211,0.4668727915194346,0,0,14020,14020,0.0,0.0,0.0,0.0,0.0,0.0,4.192506998999988,0.03565242200011198,63501.99714322042,0.13427561837455831,0.041077738515901074,0.05521201413427562,0.0
42,event_count_mlp,count,mlp,128,1.0,none,0.6868563021088769,0.5225265017667845,0,0,92308,92308,0.0,0.0,0.0,0.0,0.0,0.0,2.97556191700005,0.035579447000031905,63632.24251343675,0.1899293286219082,0.09673144876325096,0.11086572438162551,0.0
42,sparse128_linear_no_delay,sparse,linear,128,1.0,none,0.338155958803335,0.3325971731448763,1212,0,6352,7188,0.359939846048928,0.3709920070828482,1.0307055780437764,0.054461199790239334,0.0016501650679856539,0.033828385174274445,34.816439822999996,0.2706649640000478,8364.584638296961,0.0,-0.09319787985865724,-0.07906360424028269,0.0
42,sparse128_mlp_no_delay,sparse,mlp,128,1.0,none,0.4402893575282001,0.42579505300353354,1212,0,36688,37524,0.359939846048928,0.3561331817202349,0.9894241652585036,0.02573169767856598,0.0,0.0008250825339928269,33.47520059400006,0.4113547250000238,5503.765636823228,0.09319787985865724,0.0,0.014134275618374548,0.09319787985865724
42,sparse128_mlp_distance012,sparse,mlp,128,1.0,distance_0_2,0.4292545365375184,0.411660777385159,1212,348,36688,37524,0.36518703606440406,0.36000939971987855,0.9858219601650581,0.02567490190267563,0.0,0.0033003301359713078,53.05966055400006,0.5294213089999857,4276.3673496188285,0.07906360424028269,-0.014134275618374548,0.0,-0.014134275618374548
42,sparse256_mlp_distance012,sparse,mlp,256,1.0,distance_0_2,0.5807994114762138,0.5468197879858657,1724,689,69968,70292,0.24347759604243424,0.24447362309209872,1.0040908365527434,0.023274051025509834,0.0,0.002320185536518693,52.960056843000075,0.400368010999955,5654.797430857318,0.21422261484098942,0.12102473498233218,0.13515901060070673,0.13515901060070673
42,sparse128_mlp_distance012_threshold1p5,sparse,mlp,128,1.5,distance_0_2,0.5223148602256008,0.45627208480565373,1212,348,36688,37524,0.26385562769515775,0.2656034330175959,1.006624097191732,0.029783230274915695,0.0,0.0033003301359713078,53.548772215999975,0.41168513999991774,5499.348361226865,0.12367491166077743,0.03047703180212019,0.04461130742049474,0.04461130742049474
43,event_count_linear,count,linear,128,1.0,none,0.5929377145659637,0.48939929328621906,0,0,14020,14020,0.0,0.0,0.0,0.0,0.0,0.0,2.9547204210000473,0.03344638699991265,67690.4204931287,0.12720848056537098,0.08568904593639576,0.08083038869257947,0.0
43,event_count_mlp,count,mlp,128,1.0,none,0.6733692986758215,0.5335689045936396,0,0,92308,92308,0.0,0.0,0.0,0.0,0.0,0.0,2.5575663609999992,0.03408669700002065,66418.87302834383,0.17137809187279152,0.1298586572438163,0.125,0.0
43,sparse128_linear_no_delay,sparse,linear,128,1.0,none,0.3578960274644434,0.3621908127208481,1212,0,6352,7188,0.35839137350712563,0.37337895627577816,1.0418190388401034,0.06060948595404625,0.0,0.033828385174274445,34.55382458700001,0.2749121289998584,8235.358724391408,0.0,-0.04151943462897523,-0.046378091872791516,0.0
