seed,arm,dynamics,train_ltw,topology,initial_test_accuracy,train_accuracy,test_accuracy,active_edges,effective_trainable_parameters,parameter_ratio_vs_target,initial_activity,final_activity,activity_kind,mean_absolute_ltw_change,train_seconds,inference_seconds,test_examples_per_second,gain_vs_raw_temporal,gain_vs_matched_analog,gain_vs_frozen_ltw
42,raw_temporal_pyramid,raw,False,raw_events,0.04902826855123675,0.9559833251593919,0.7800353356890459,0,132944,0.9948589773331038,0.09931821886831796,0.09931821886831796,input_event_rate,0.0,6.420034221000606,0.054353367999283364,41653.35255820486,0.0,0.0,0.0
42,sparse_lif_frozen_ltw,lif,False,sparse_feedforward,0.04637809187279152,0.9265571358509073,0.8043286219081273,700,132931,0.9947616945169908,0.08281604005780742,0.08281604005780742,hidden_spike_rate,0.0,38.49222322800051,0.289147942999989,7829.901802206789,0.024293286219081334,0.015017667844523075,0.0
42,sparse_lif_trainable_ltw,lif,True,sparse_feedforward,0.04637809187279152,0.9303580186365865,0.8021201413427562,700,133631,1.0,0.08281604005780742,0.0833536696360305,hidden_spike_rate,0.014755631797015667,37.618147089999184,0.2899014199992962,7809.551260581947,0.022084805653710293,0.0,-0.0022084805653710404
42,sparse_analog_frozen_ltw,analog,False,sparse_feedforward,0.0446113074204947,0.8940657184894556,0.7893109540636042,700,132931,0.9947616945169908,0.33906705872330145,0.33906705872330145,analog_activation,0.0,27.441194519999044,0.26820519900138606,8441.297963013387,0.009275618374558259,0.0,0.0
42,sparse_analog_trainable_ltw,analog,True,sparse_feedforward,0.0446113074204947,0.8979892103972535,0.8021201413427562,700,133631,1.0,0.33906705872330145,0.3391041347079058,analog_activation,0.00782608799636364,27.454195839998647,0.25157610999849567,8999.264675861066,0.022084805653710293,0.0,0.012809187279152034
43,raw_temporal_pyramid,raw,False,raw_events,0.0719964664310954,0.9654242275625307,0.7950530035335689,0,132944,0.9948589773331038,0.09931821886831796,0.09931821886831796,input_event_rate,0.0,5.903431696999178,0.053610124999977415,42230.8285981604,0.0,0.0,0.0
43,sparse_lif_frozen_ltw,lif,False,sparse_feedforward,0.05609540636042403,0.9437224129475233,0.7831272084805654,700,132931,0.9947616945169908,0.08294898769143613,0.08294898769143613,hidden_spike_rate,0.0,36.49078573599945,0.3610995389990421,6269.73938065871,-0.011925795053003507,-0.02075971731448767,0.0
43,sparse_lif_trainable_ltw,lif,True,sparse_feedforward,0.05609540636042403,0.9443354585581167,0.7848939929328622,700,133631,1.0,0.08294898769143613,0.08367293162185817,hidden_spike_rate,0.01528652012348175,37.452340894999,0.41502511399994546,5455.091568266632,-0.010159010600706675,-0.016784452296819796,0.0017667844522968323
43,sparse_analog_frozen_ltw,analog,False,sparse_feedforward,0.04946996466431095,0.886096125551741,0.803886925795053,700,132931,0.9947616945169908,0.33281759901939767,0.33281759901939767,analog_activation,0.0,27.64215167399925,0.2539413560007233,8915.444241360794,0.008833922261484162,0.0,0.0
43,sparse_analog_trainable_ltw,analog,True,sparse_feedforward,0.04946996466431095,0.8865865620402158,0.801678445229682,700,133631,1.0,0.33281759901939767,0.332711132170876,analog_activation,0.008364384062588215,27.425437423000403,0.24940000100104953,9077.786651614619,0.006625441696113121,0.0,-0.0022084805653710404
44,raw_temporal_pyramid,raw,False,raw_events,0.05123674911660778,0.9665277096615988,0.7636925795053003,0,132944,0.9948589773331038,0.09931821886831796,0.09931821886831796,input_event_rate,0.0,5.184004058999562,0.054228670998782036,41749.133037961576,0.0,0.0,0.0
44,sparse_lif_frozen_ltw,lif,False,sparse_feedforward,0.02120141342756184,0.929009318293281,0.8012367491166078,700,132931,0.9947616945169908,0.08245338707530456,0.08245338707530456,hidden_spike_rate,0.0,37.235869691001426,0.28744956300033664,7876.164348168964,0.037544169611307465,-0.024293286219081223,0.0
44,sparse_lif_trainable_ltw,lif,True,sparse_feedforward,0.02120141342756184,0.9321971554683669,0.8012367491166078,700,133631,1.0,0.08245338707530456,0.08308438954104805,hidden_spike_rate,0.01570267230272293,37.18247895899913,0.3004258849996404,7535.9684802217025,0.037544169611307465,-0.01369257950530034,0.0
44,sparse_analog_frozen_ltw,analog,False,sparse_feedforward,0.0636042402826855,0.8993379107405591,0.825530035335689,700,132931,0.9947616945169908,0.3359445458798021,0.3359445458798021,analog_activation,0.0,27.826182373000847,0.24649379400034377,9184.81541972145,0.06183745583038869,0.0,0.0
44,sparse_analog_trainable_ltw,analog,True,sparse_feedforward,0.0636042402826855,0.8979892103972535,0.8149293286219081,700,133631,1.0,0.3359445458798021,0.3357835455201961,analog_activation,0.007744393777102232,27.390106484999706,0.25036112799898547,9042.937368492661,0.051236749116607805,0.0,-0.010600706713780883
