seed,arm,model_kind,topology,hidden_neurons,feature_dim,readout_bottleneck_units,train_accuracy,test_accuracy,active_edges,active_recurrent_edges,trainable_head_parameters,effective_trainable_parameters,allocated_trainable_parameters,initial_event_rate,final_event_rate,event_rate_kind,mean_absolute_ltw_change,lower_ltw_saturation_rate,upper_ltw_saturation_rate,train_seconds,inference_seconds,test_examples_per_second,gain_vs_event_count,gain_vs_raw_temporal,gain_vs_sparse_global,recurrence_gain_vs_feedforward,parameter_ratio_vs_recurrent_pyramid
42,event_count_mlp,event_count,raw_count,0,700,128,0.6868563021088769,0.5225265017667845,0,0,92308,92308,92308,0.09931821886831796,0.09931821886831796,input,0.0,0.0,0.0,2.78859845199986,0.04188712500035763,54050.021336643906,0.0,-0.2575088339222614,-0.08701413427561833,0.0,0.680341099212111
42,raw_temporal_pyramid,raw_temporal,raw_temporal,0,1180,92,0.9559833251593919,0.7800353356890459,0,0,132944,132944,132944,0.09931821886831796,0.09931821886831796,input,0.0,0.0,0.0,5.639662437999505,0.053946345999975165,41967.62464692312,0.2575088339222614,0.0,0.1704946996466431,0.0,0.9798421273741699
42,sparse512_global,sparse_global,recurrent_global,512,1024,128,0.6907797940166749,0.6095406360424028,2748,2048,133780,136528,137876,0.13302019238471985,0.14074775729288902,hidden,0.020933615043759346,0.0,0.0010917030740529299,34.850756152999566,0.4257577440002933,5317.577969875846,0.08701413427561833,-0.1704946996466431,0.0,0.0,1.0062574164019487
42,sparse512_feedforward_pyramid,sparse_feedforward_pyramid,feedforward_pyramid,512,992,115,0.9296223639038744,0.8030035335689046,700,0,132931,133631,137027,0.08281604005780742,0.08334346536823381,hidden,0.014457903802394867,0.0,0.0,36.897955131000344,0.38836319599977287,5829.5946251336445,0.28047703180212014,0.02296819787985871,0.1934628975265018,0.0,0.9849055491269836
42,sparse512_recurrent_pyramid,sparse_recurrent_pyramid,recurrent_pyramid,512,992,115,0.920426679744973,0.801678445229682,2748,2048,132931,135679,137027,0.13302019238471985,0.13238462100180637,hidden,0.009332126937806606,0.0,0.0,36.28415520099952,0.3876144799996837,5840.855068164243,0.2791519434628975,0.021643109540636085,0.19213780918727918,-0.0013250883392226243,1.0
43,event_count_mlp,event_count,raw_count,0,700,128,0.6733692986758215,0.5335689045936396,0,0,92308,92308,92308,0.09931821886831796,0.09931821886831796,input,0.0,0.0,0.0,2.6133227609998357,0.03252892000000429,69599.60552024787,0.0,-0.2614840989399293,-0.09363957597173145,0.0,0.680341099212111
43,raw_temporal_pyramid,raw_temporal,raw_temporal,0,1180,92,0.9654242275625307,0.7950530035335689,0,0,132944,132944,132944,0.09931821886831796,0.09931821886831796,input,0.0,0.0,0.0,5.056070678999276,0.05566054999962944,40675.128075721004,0.2614840989399293,0.0,0.16784452296819785,0.0,0.9798421273741699
43,sparse512_global,sparse_global,recurrent_global,512,1024,128,0.6804806277587052,0.627208480565371,2748,2048,133780,136528,137876,0.130065985892771,0.1391145817593214,hidden,0.02440583147108555,0.0,0.0014556040987372398,35.084403288999965,0.27730856600010156,8164.190643859053,0.09363957597173145,-0.16784452296819785,0.0,0.0,1.0062574164019487
43,sparse512_feedforward_pyramid,sparse_feedforward_pyramid,feedforward_pyramid,512,992,115,0.9458067680235409,0.7857773851590106,700,0,132931,133631,137027,0.08294898769143613,0.0836821648920804,hidden,0.015398875810205936,0.0,0.0014285714132711291,37.58749293500023,0.289651662000324,7816.285203975344,0.25220848056537104,-0.009275618374558259,0.1585689045936396,0.0,0.9849055491269836
43,sparse512_recurrent_pyramid,sparse_recurrent_pyramid,recurrent_pyramid,512,992,115,0.9160127513487003,0.7977031802120141,2748,2048,132931,135679,137027,0.130065985892771,0.13043665838536442,hidden,0.00928571168333292,0.0,0.0,37.69209137300004,0.3093212390003828,7319.251685776412,0.26413427561837455,0.0026501766784452485,0.1704946996466431,0.011925795053003507,1.0
