arm,classifier,schedule,sprout_mode,seeds,mean_test_accuracy,std_test_accuracy,mean_accuracy_gain_vs_fixed_warm_all,fixed_improved_seed_count,fixed_practical_gain_seed_count,mean_accuracy_gain_vs_frozen,initial_active_edges,final_active_edges,sprouted_edges,effective_trainable_parameters,mean_event_rate_ratio,mean_core_ltw_change,mean_sprouted_ltw_change_from_birth,mean_lower_ltw_saturation_rate,mean_upper_ltw_saturation_rate,mean_train_seconds,mean_end_to_end_examples_per_second
raw,linear,raw,none,3,0.8593999999999999,0.001177568115510388,0.39973333333333333,3,3,0.42086666666666667,0,0,0,650,0.0,0.0,0.0,0.0,0.0,0.7541566653332362,1934333.2826561092
raw,mlp,raw,none,3,0.9420666666666667,0.0006182412330330308,0.37786666666666663,3,3,0.38620000000000004,0,0,0,17785,0.0,0.0,0.0,0.0,0.0,0.8972320099998493,1704681.7446518408
frozen_recurrent,linear,frozen,none,3,0.4385333333333333,0.010172293524842654,-0.021133333333333337,0,0,0.0,272,272,0,1290,1.0,0.0,0.0,0.0,0.0,2.7672458196669445,144106.17052051314
frozen_recurrent,mlp,frozen,none,3,0.5558666666666666,0.00489988662000347,-0.00833333333333334,0,0,0.0,272,272,0,17802,1.0,0.0,0.0,0.0,0.0,2.8789606583328955,134258.7470778146
fixed_warm_all,linear,warmup,none,3,0.45966666666666667,0.013398839087357114,0.0,0,0,0.021133333333333337,272,272,0,1562,1.2851577378611054,0.019914736971259117,0.0,0.0,0.006127451080828905,5.337914393666931,125556.95116213027
fixed_warm_all,mlp,warmup,none,3,0.5642,0.008433267456923185,0.0,0,0,0.00833333333333334,272,272,0,18074,1.0868452747681847,0.006611557211726904,0.0,0.0,0.002450980401287476,5.689139707666679,108253.33275481714
sensor_sprout_16,linear,warmup,sensor,3,0.46460000000000007,0.008708616422830906,0.004933333333333345,3,1,0.026066666666666682,272,288,16,1578,1.3011991602462674,0.01934231010576089,0.0704980952044328,0.0011574074160307646,0.005787037157764037,6.093714293999558,141990.0955715558
sensor_sprout_16,mlp,warmup,sensor,3,0.5618666666666666,0.009021948545383953,-0.0023333333333333353,1,0,0.006000000000000005,272,288,16,18090,1.0930679219095465,0.006427261978387833,0.021486584718028705,0.0,0.0011574074160307646,6.181923590000527,136293.22864822677
sensor_sprout_48,linear,warmup,sensor,3,0.4673333333333333,0.002801586851926748,0.007666666666666655,2,2,0.028799999999999992,272,320,48,1610,1.3407903947985462,0.01914724645515283,0.05785159766674042,0.0031250000465661287,0.0052083334885537624,5.321918489667041,137114.52066283266
sensor_sprout_48,mlp,warmup,sensor,3,0.5621333333333333,0.0067118469059483715,-0.002066666666666698,1,1,0.006266666666666643,272,320,48,18122,1.1554800192459387,0.008407016129543384,0.022491743167241413,0.0,0.0,5.4294222226665925,118905.50441331568
recurrent_sprout_64,linear,warmup,recurrent,3,0.46173333333333333,0.012128570493764819,0.002066666666666661,2,1,0.0232,272,336,64,1626,1.3076091210470142,0.01854135033984979,0.012725395460923513,0.0,0.004960317630320787,6.132424897333294,116827.64075082481
recurrent_sprout_64,mlp,warmup,recurrent,3,0.5634,0.005506359959174479,-0.0008000000000000229,1,1,0.007533333333333318,272,336,64,18138,1.0894614202577706,0.0061408185089627905,0.0034105812665075064,0.0,0.001984127021084229,6.475551949334052,139142.53461524434
