arm,classifier,model_kind,gate_mode,seeds,mean_test_accuracy,std_test_accuracy,mean_accuracy_gain_vs_fixed_distance,improved_seed_count,practical_gain_seed_count,effective_trainable_parameters,mean_changed_delay_assignments,mean_recurrent_delay,mean_final_delay_entropy,mean_event_rate_ratio,mean_absolute_ltw_change,mean_lower_ltw_saturation_rate,mean_upper_ltw_saturation_rate,mean_train_seconds
raw,linear,raw,fixed,3,0.8593999999999999,0.001177568115510388,0.3188666666666667,3,3,650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7696682233333073
raw,mlp,raw,fixed,3,0.9420666666666667,0.0006182412330330308,0.30133333333333334,3,3,17785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9046423786670251
lif_no_delay_warm_all,linear,fixed,fixed,3,0.45966666666666667,0.013398839087357114,-0.08086666666666668,0,0,1562,0.0,0.0,0.0,1.2851577378611054,0.019914735729495685,0.0,0.006127451080828905,6.264229542333244
lif_no_delay_warm_all,mlp,fixed,fixed,3,0.564,0.00800166649309169,-0.07673333333333336,0,0,18074,0.0,0.0,0.0,1.0868838831361713,0.006603341860075791,0.0,0.002450980401287476,6.357294348666983
fixed_distance012_warm_all,linear,fixed,fixed,3,0.5405333333333333,0.012216200536809925,0.0,0,0,1562,0.0,1.0091145833333333,0.0,1.2853810126089154,0.020726791272560757,0.001225490200643738,0.006127451080828905,9.231629131666827
fixed_distance012_warm_all,mlp,fixed,fixed,3,0.6407333333333334,0.0033319997332266122,0.0,0,0,18074,0.0,1.0091145833333333,0.0,1.1201385709184037,0.0071706802894671755,0.0,0.002450980401287476,9.666719781333692
learned_soft_distance_init,linear,learned,soft,3,0.5346666666666667,0.012172464372052539,-0.005866666666666649,0,0,2330,6.0,1.0260416666666667,0.2280815988779068,1.2872188908155104,0.02117530380686124,0.0,0.006127451080828905,11.074883462333673
learned_soft_distance_init,mlp,learned,soft,3,0.6401333333333333,0.0009843215373488753,-0.000600000000000008,2,0,18842,0.3333333333333333,1.0104166666666667,0.23433540761470795,1.124810766039613,0.00712601871540149,0.0,0.002450980401287476,10.60559977266712
learned_st_distance_init,linear,learned,straight_through,3,0.5430666666666667,0.01577029556546807,0.0025333333333333132,2,1,2330,5.0,1.0234375,0.2239213933547338,1.2845680912785185,0.020591185117761295,0.001225490200643738,0.006127451080828905,11.46409167133364
learned_st_distance_init,mlp,learned,straight_through,3,0.6417333333333334,0.0033479678745306314,0.0010000000000000009,2,0,18842,1.3333333333333333,1.01171875,0.237600048383077,1.120203813703634,0.007183490631481011,0.0,0.002450980401287476,11.369523629333344
learned_soft_flat_init,linear,learned,soft,3,0.5028,0.008630179604156553,-0.037733333333333376,0,0,2330,42.0,0.24609375,1.051901380221049,1.2734065476537126,0.020265258227785427,0.0,0.006127451080828905,10.629135987999689
learned_soft_flat_init,mlp,learned,soft,3,0.5799333333333333,0.009240971569892205,-0.0608,0,0,18842,29.0,0.1953125,1.067604621251424,1.1369868616420247,0.00725146181260546,0.0,0.0036764706019312143,11.062583629332948
