seed,arm,classifier,schedule,scope,reservoir_learning_rate,surrogate_slope,warmup_epochs,train_accuracy,test_accuracy,active_edges,scope_trainable_edges,readout_parameters,optimizer_parameters,effective_trainable_parameters,initial_hidden_event_rate,final_hidden_event_rate,event_rate_ratio,mean_absolute_ltw_change,mean_sensor_ltw_change,mean_recurrent_ltw_change,lower_ltw_saturation_rate,upper_ltw_saturation_rate,train_seconds,inference_seconds,end_to_end_examples_per_second,paired_frozen_test_accuracy,accuracy_gain_vs_frozen
42,raw,linear,raw,none,0.0,10.0,0,0.83975,0.8598,0,0,650,650,650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7816249159996005,0.0021000839997213916,2380857.1469823713,0.4486,0.4112
42,frozen_recurrent,linear,frozen,none,0.0,10.0,0,0.43865,0.4486,272,0,1290,1290,1290,0.01671992195546627,0.01671992195546627,1.0,0.0,0.0,0.0,0.0,0.0,2.7776719540006525,0.043144831999597955,115888.73494852391,0.4486,0.0
42,warm_all_3em4,linear,warmup,all,0.0003,10.0,10,0.4674,0.4764,272,272,1290,1802,1562,0.01671992195546627,0.022525000095367433,1.3471952892700734,0.021228663623332977,0.10051394999027252,0.016273334622383118,0.0,0.011029412038624287,6.029407662999802,0.05721670900038589,87387.06030726581,0.4486,0.02779999999999999
42,warm_recurrent_3em4,linear,warmup,recurrent,0.0003,10.0,10,0.44435,0.4562,272,256,1290,1802,1546,0.01671992195546627,0.017408203133940696,1.0411653344021383,0.014441058039665222,0.0,0.015343624167144299,0.0,0.0,5.548302623000382,0.03582167300010042,139580.30380060652,0.4486,0.007599999999999996
42,raw,mlp,raw,none,0.0,10.0,0,0.94245,0.9424,0,0,17785,17785,17785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8429369020004742,0.0032012439996833564,1561892.814322983,0.5616,0.3808
42,frozen_recurrent,mlp,frozen,none,0.0,10.0,0,0.56045,0.5616,272,0,17802,17802,17802,0.01671992195546627,0.01671992195546627,1.0,0.0,0.0,0.0,0.0,0.0,2.9464435179997963,0.03804336399934982,131428.9661683297,0.5616,0.0
42,warm_all_3em4,mlp,warmup,all,0.0003,10.0,10,0.5691,0.5756,272,272,17802,18314,18074,0.01671992195546627,0.01865273444354534,1.115599372606352,0.006922168657183647,0.04783197119832039,0.004365306347608566,0.0,0.0036764706019312143,6.596142504999989,0.03643113300040568,137245.2511961218,0.5616,0.014000000000000012
42,warm_recurrent_3em4,mlp,warmup,recurrent,0.0003,10.0,10,0.56465,0.561,272,256,17802,18314,18058,0.01671992195546627,0.016880468678474425,1.009602121555099,0.0038192772772163153,0.0,0.004057982005178928,0.0,0.0,5.649458620000587,0.04237036800077476,118006.99960662538,0.5616,-0.0005999999999999339
43,raw,linear,raw,none,0.0,10.0,0,0.8411,0.8578,0,0,650,650,650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.737519319999592,0.002359675999286992,2118934.973068683,0.4424,0.4154
43,frozen_recurrent,linear,frozen,none,0.0,10.0,0,0.4266,0.4424,272,0,1290,1290,1290,0.016587109199166297,0.016587109199166297,1.0,0.0,0.0,0.0,0.0,0.0,3.482260899000721,0.04538232800041442,110175.04434665276,0.4424,0.0
43,warm_all_3em4,linear,warmup,all,0.0003,10.0,10,0.4383,0.459,272,272,1290,1802,1562,0.016587109199166297,0.021082031241059302,1.2709888738249175,0.018292026594281197,0.10272450000047684,0.01301499642431736,0.0,0.0036764706019312143,5.672611592000067,0.03656272199987143,136751.30642673656,0.4424,0.016600000000000004
43,warm_recurrent_3em4,linear,warmup,recurrent,0.0003,10.0,10,0.4312,0.4368,272,256,1290,1802,1546,0.016587109199166297,0.016648828101158142,1.0037208956214592,0.012276768684387207,0.0,0.013044066727161407,0.0,0.0,5.421945712000706,0.04880558300010307,102447.2958347704,0.4424,-0.005599999999999994
43,raw,mlp,raw,none,0.0,10.0,0,0.93825,0.9412,0,0,17785,17785,17785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9385116189996552,0.003487971000140533,1433498.1568936629,0.5506,0.39060000000000006
43,frozen_recurrent,mlp,frozen,none,0.0,10.0,0,0.5455,0.5506,272,0,17802,17802,17802,0.016587109199166297,0.016587109199166297,1.0,0.0,0.0,0.0,0.0,0.0,3.5108617649993903,0.03708756700052618,134816.06922150118,0.5506,0.0
43,warm_all_3em4,mlp,warmup,all,0.0003,10.0,10,0.5473,0.5608,272,272,17802,18314,18074,0.016587109199166297,0.017739843687415123,1.0694958039045626,0.00553783867508173,0.03843173384666443,0.003481970401480794,0.0,0.0036764706019312143,5.476140012000542,0.03715272499994171,134579.630431088,0.5506,0.010199999999999987
43,warm_recurrent_3em4,mlp,warmup,recurrent,0.0003,10.0,10,0.54895,0.5516,272,256,17802,18314,18058,0.016587109199166297,0.016606640458106996,1.0011774962536377,0.003007549559697509,0.0,0.0031955214217305183,0.0,0.0,6.4807922359996155,0.037378868999439874,133765.41703482054,0.5506,0.0010000000000000009
44,raw,linear,raw,none,0.0,10.0,0,0.84235,0.8606,0,0,650,650,650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6748275829995691,0.0021742369999628863,2299657.305107653,0.4246,0.43600000000000005
44,frozen_recurrent,linear,frozen,none,0.0,10.0,0,0.42515,0.4246,272,0,1290,1290,1290,0.014374609366059303,0.014374609366059303,1.0,0.0,0.0,0.0,0.0,0.0,2.782806095999149,0.0401775260006616,124447.68251578421,0.4246,0.0
44,warm_all_3em4,linear,warmup,all,0.0003,10.0,10,0.44435,0.4436,272,272,1290,1802,1562,0.014374609366059303,0.017785546773672105,1.2372890504883254,0.020223518833518028,0.09810760617256165,0.01535576581954956,0.0,0.0036764706019312143,5.419917742000507,0.036782396000489825,135934.59218734462,0.4246,0.019000000000000017
44,warm_recurrent_3em4,linear,warmup,recurrent,0.0003,10.0,10,0.4313,0.4376,272,256,1290,1802,1546,0.014374609366059303,0.014421874980628491,1.0032881321061002,0.014368534088134766,0.0,0.015266567468643188,0.0,0.0,6.368253847000233,0.03741076099959173,133651.38442531458,0.4246,0.013000000000000012
44,raw,mlp,raw,none,0.0,10.0,0,0.9416,0.9426,0,0,17785,17785,17785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.835251342000447,0.002718476999689301,1839265.147570297,0.5538,0.38880000000000003
44,frozen_recurrent,mlp,frozen,none,0.0,10.0,0,0.5559,0.5538,272,0,17802,17802,17802,0.014374609366059303,0.014374609366059303,1.0,0.0,0.0,0.0,0.0,0.0,2.8667575220006256,0.036016130000462,138826.68681881874,0.5538,0.0
44,warm_all_3em4,mlp,warmup,all,0.0003,10.0,10,0.5585,0.5564,272,272,17802,18314,18074,0.014374609366059303,0.015453906208276748,1.0750835598194295,0.007346267346292734,0.05102149769663811,0.004616565071046352,0.0,0.0,6.055759803000001,0.054088838000097894,92440.51425159014,0.5538,0.0026000000000000467
44,warm_recurrent_3em4,mlp,warmup,recurrent,0.0003,10.0,10,0.558,0.5534,272,256,17802,18314,18058,0.014374609366059303,0.014318749910593034,0.9961140192374088,0.004267420154064894,0.0,0.004534133709967136,0.0,0.0,5.672581261000232,0.0363136959995245,137689.09669964388,0.5538,-0.00039999999999995595
