seed,group,train_samples,test_samples,train_accuracy,test_accuracy,active_edges,readout_parameters,optimizer_parameters,effective_trainable_parameters,mean_hidden_event_rate,mean_ltw,mean_absolute_ltw_change,train_seconds,inference_seconds,end_to_end_examples_per_second
42,raw_linear,20000,5000,0.83975,0.8598,0,650,650,650,0.0,0.0,0.0,0.8600196209999922,0.0026042019999295007,1919973.9498454256
42,raw_mlp,20000,5000,0.9541,0.949,0,34210,34210,34210,0.0,0.0,0.0,1.089865386999918,0.0035189409995837195,1420882.021207939
42,frozen_temporal_linear,20000,5000,0.9245,0.916,384,10250,10250,10250,0.024226893112063407,0.3777000606060028,0.0,3.5761174079998455,0.03918373899978178,127603.95326305756
42,frozen_temporal_mlp,20000,5000,0.9467,0.9198,384,34165,34165,34165,0.024226893112063407,0.3777000606060028,0.0,3.120555527000306,0.038778203000219946,128938.41419035432
42,trained_ltw_temporal_linear,20000,5000,0.91875,0.9122,384,10250,10762,10634,0.04388054832816124,0.4300174117088318,0.11229755729436874,5.831518431999939,0.05480820499997208,91227.21680088861
42,trained_ltw_temporal_mlp,20000,5000,0.94605,0.9226,384,34165,34677,34549,0.028501938842236996,0.40563949942588806,0.06930628418922424,5.773629206999885,0.039272603999961575,127315.21444325139
43,raw_linear,20000,5000,0.8411,0.8578,0,650,650,650,0.0,0.0,0.0,0.666997394000191,0.002131056000052922,2346254.626755858
43,raw_mlp,20000,5000,0.95435,0.952,0,34210,34210,34210,0.0,0.0,0.0,0.8345697400000063,0.003094884999882197,1615568.9145768967
43,frozen_temporal_linear,20000,5000,0.9237,0.9156,384,10250,10250,10250,0.026380398869514467,0.37142595648765564,0.0,2.99795220399983,0.03993998400028431,125187.83182197588
43,frozen_temporal_mlp,20000,5000,0.9468,0.9242,384,34165,34165,34165,0.026380398869514467,0.37142595648765564,0.0,3.8410949839999375,0.0679992520003907,73530.22059670997
43,trained_ltw_temporal_linear,20000,5000,0.92325,0.9106,384,10250,10762,10634,0.03892388641834259,0.42847979068756104,0.10596047341823578,5.419957545000216,0.042616046000148344,117326.69896176185
43,trained_ltw_temporal_mlp,20000,5000,0.9447,0.9226,384,34165,34677,34549,0.029472023993730546,0.39741456508636475,0.05680511146783829,5.7264150030000565,0.06438185800016072,77661.62946070178
44,raw_linear,20000,5000,0.84235,0.8606,0,650,650,650,0.0,0.0,0.0,0.7732180059997518,0.0027971929998784617,1787506.2608183455
44,raw_mlp,20000,5000,0.95305,0.9532,0,34210,34210,34210,0.0,0.0,0.0,0.9459989310003039,0.003692333999879338,1354157.0183421639
44,frozen_temporal_linear,20000,5000,0.9233,0.9158,384,10250,10250,10250,0.021080048009753227,0.37752074003219604,0.0,3.2236871990003237,0.03923070600012579,127451.1858130712
44,frozen_temporal_mlp,20000,5000,0.9465,0.9194,384,34165,34165,34165,0.021080048009753227,0.37752074003219604,0.0,3.131604294000226,0.03939767700012453,126911.0358964615
44,trained_ltw_temporal_linear,20000,5000,0.9206,0.9152,384,10250,10762,10634,0.03276411555707455,0.42757177352905273,0.10470249503850937,5.82460726599993,0.05452608500036149,91699.22982673066
44,trained_ltw_temporal_mlp,20000,5000,0.9474,0.922,384,34165,34677,34549,0.022893072664737703,0.4033507704734802,0.06203332170844078,5.791751305000162,0.04338346099984847,115251.29357515908
