seed,arm,classifier,schedule,selection,candidate_edges,requested_sprout_edges,sprouted_edges,pruned_sprouted_edges,retained_sprouted_edges,birth_weight,prune_fraction,prune_threshold_ratio,mean_selected_gradient_score,mean_pruned_ltw_before_removal,reservoir_learning_rate,surrogate_slope,warmup_epochs,train_accuracy,test_accuracy,initial_active_edges,final_active_edges,readout_parameters,optimizer_parameters,effective_trainable_parameters,initial_hidden_event_rate,final_hidden_event_rate,event_rate_ratio,mean_core_ltw_change,mean_retained_sprouted_ltw_change_from_birth,mean_final_retained_sprouted_ltw,lower_ltw_saturation_rate,upper_ltw_saturation_rate,train_seconds,inference_seconds,end_to_end_examples_per_second,paired_frozen_test_accuracy,accuracy_gain_vs_frozen,paired_fixed_warm_all_test_accuracy,accuracy_gain_vs_fixed_warm_all,paired_random_sensor_48_test_accuracy,accuracy_gain_vs_random_sensor_48
42,raw,linear,raw,none,0,0,0,0,0,0.1,0.0,0.95,0.0,0.0,0.0,10.0,0,0.83975,0.8598,0,0,650,650,650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8354489069988631,0.002306444999703672,2167838.3835913674,0.4486,0.4112,0.4764,0.3834,0.4668,0.393
42,frozen_recurrent,linear,frozen,none,0,0,0,0,0,0.1,0.0,0.95,0.0,0.0,0.0,10.0,0,0.43865,0.4486,272,272,1290,1290,1290,0.01671992195546627,0.01671992195546627,1.0,0.0,0.0,0.0,0.0,0.0,3.0718598179992114,0.03911340099875815,127833.42466585172,0.4486,0.0,0.4764,-0.02779999999999999,0.4668,-0.018199999999999994
42,fixed_warm_all,linear,warmup,none,0,0,0,0,0,0.1,0.0,0.95,0.0,0.0,0.0003,10.0,10,0.4674,0.4764,272,272,1290,1802,1562,0.01671992195546627,0.022525000095367433,1.3471952892700734,0.021228663623332977,0.0,0.0,0.0,0.011029412038624287,5.763271214998895,0.05087039299905882,98288.99886998135,0.4486,0.02779999999999999,0.4764,0.0,0.4668,0.009599999999999997
42,random_sensor_48,linear,warmup,random,48,48,48,0,48,0.1,0.0,0.95,0.0,0.0,0.0003,10.0,10,0.46185,0.4668,272,320,1290,1802,1610,0.01671992195546627,0.022983203050494193,1.374599900149669,0.021955443546175957,0.05194370076060295,0.12116537988185883,0.0062500000931322575,0.00937500037252903,5.728740107999329,0.03869300200130965,129222.33327439323,0.4486,0.018199999999999994,0.4764,-0.009599999999999997,0.4668,0.0
42,gradient_sensor_16,linear,warmup,gradient,192,16,16,0,16,0.1,0.0,0.95,1.0109280869364738,0.0,0.0003,10.0,10,0.4534,0.4608,272,288,1290,1802,1578,0.01671992195546627,0.020723437520861625,1.2394458285187437,0.019422538578510284,0.031868305057287216,0.07389011234045029,0.0,0.010416666977107525,5.41894197900001,0.06201523799973074,80625.34566136324,0.4486,0.012199999999999989,0.4764,-0.015600000000000003,0.4668,-0.006000000000000005
42,gradient_sensor_48,linear,warmup,gradient,192,48,48,0,48,0.1,0.0,0.95,0.6957556946823994,0.0,0.0003,10.0,10,0.4498,0.4578,272,320,1290,1802,1610,0.01671992195546627,0.02304179682433605,1.3781043288185302,0.025315212085843086,0.018840951845049858,0.09140241146087646,0.0,0.00937500037252903,6.279019307999988,0.03517224899951543,142157.52879689,0.4486,0.009199999999999986,0.4764,-0.018600000000000005,0.4668,-0.009000000000000008
42,gradient_sensor_48_prune,linear,warmup,gradient,192,48,48,24,24,0.1,0.5,0.95,0.6957557015120983,0.0789434586962064,0.0003,10.0,10,0.451,0.4612,272,296,1290,1802,1586,0.01671992195546627,0.021171484392881395,1.266243015324588,0.02105066366493702,0.010228349827229977,0.1070946753025055,0.0,0.006756756920367479,5.346048457999132,0.03534848399976909,141448.78179309366,0.4486,0.0126,0.4764,-0.015199999999999991,0.4668,-0.005599999999999994
42,raw,mlp,raw,none,0,0,0,0,0,0.1,0.0,0.95,0.0,0.0,0.0,10.0,0,0.94245,0.9424,0,0,17785,17785,17785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8468303759982518,0.0029500849996111356,1694866.4193265866,0.5626,0.3798,0.5754,0.367,0.5702,0.3722
42,frozen_recurrent,mlp,frozen,none,0,0,0,0,0,0.1,0.0,0.95,0.0,0.0,0.0,10.0,0,0.56025,0.5626,272,272,17802,17802,17802,0.01671992195546627,0.01671992195546627,1.0,0.0,0.0,0.0,0.0,0.0,3.575575982000373,0.0543095880002511,92064.77500762633,0.5626,0.0,0.5754,-0.012800000000000034,0.5702,-0.007600000000000051
42,fixed_warm_all,mlp,warmup,none,0,0,0,0,0,0.1,0.0,0.95,0.0,0.0,0.0003,10.0,10,0.5696,0.5754,272,272,17802,18314,18074,0.01671992195546627,0.018648437559604644,1.1153423807404723,0.006918136030435562,0.0,0.0,0.0,0.0036764706019312143,5.611492165000527,0.03581926100014243,139589.70286908257,0.5626,0.012800000000000034,0.5754,0.0,0.5702,0.005199999999999982
