arm,classifier,selection,seeds,mean_test_accuracy,std_test_accuracy,mean_accuracy_gain_vs_fixed_warm_all,fixed_improved_seed_count,mean_accuracy_gain_vs_random_sensor_48,random_improved_seed_count,random_practical_gain_seed_count,initial_active_edges,mean_final_active_edges,sprouted_edges,mean_pruned_sprouted_edges,mean_retained_sprouted_edges,mean_selected_gradient_score,mean_event_rate_ratio,mean_core_ltw_change,mean_retained_sprouted_ltw_change_from_birth,mean_final_retained_sprouted_ltw,mean_lower_ltw_saturation_rate,mean_upper_ltw_saturation_rate,mean_train_seconds
raw,linear,none,3,0.8593999999999999,0.001177568115510388,0.39973333333333333,3,0.39206666666666673,3,3,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7295680436661011
raw,mlp,none,3,0.9420666666666667,0.0006182412330330308,0.37813333333333327,3,0.3801333333333334,3,3,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8966135469994091
frozen_recurrent,linear,none,3,0.4385333333333333,0.010172293524842654,-0.021133333333333337,0,-0.028799999999999992,0,0,272,272.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.856680957333083
frozen_recurrent,mlp,none,3,0.5556666666666666,0.005073679357450793,-0.008266666666666719,0,-0.006266666666666716,0,0,272,272.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.610731430000669
fixed_warm_all,linear,none,3,0.45966666666666667,0.013398839087357114,0.0,0,-0.007666666666666655,1,1,272,272.0,0,0.0,0.0,0.0,1.2851577378611054,0.019914736971259117,0.0,0.0,0.0,0.006127451080828905,5.892610334332858
fixed_warm_all,mlp,none,3,0.5639333333333334,0.008304750982954804,0.0,0,0.0020000000000000018,2,2,272,272.0,0,0.0,0.0,0.0,1.0868205394862545,0.006613455557574828,0.0,0.0,0.0,0.002450980401287476,5.467757115666852
random_sensor_48,linear,random,3,0.4673333333333333,0.002801586851926748,0.007666666666666655,2,0.0,0,0,272,320.0,48,0.0,48.0,0.0,1.3407903947985462,0.01914724645515283,0.05785159890850385,0.1274239420890808,0.0031250000465661287,0.0052083334885537624,5.491498583332941
random_sensor_48,mlp,random,3,0.5619333333333333,0.006777085574853635,-0.0020000000000000018,1,0.0,0,0,272,320.0,48,0.0,48.0,0.0,1.1552869667629462,0.00840488945444425,0.022508105263113976,0.09541153659423192,0.0,0.0,5.967290450666648
gradient_sensor_16,linear,gradient,3,0.45260000000000006,0.007538346414610215,-0.0070666666666666655,0,-0.01473333333333332,0,0,272,288.0,16,0.0,16.0,0.9320294732848803,1.2195993811202437,0.01878679171204567,0.027444828922549885,0.08188957472642262,0.0011574074160307646,0.005787037157764037,5.638812594333406
gradient_sensor_16,mlp,gradient,3,0.5507333333333333,0.004352266331719858,-0.013200000000000064,0,-0.011200000000000062,0,0,272,288.0,16,0.0,16.0,7.370732719699542,1.0601720509044468,0.006878394012649854,0.008059429470449686,0.09320926417907079,0.0,0.0011574074160307646,5.785814076333433
gradient_sensor_48,linear,gradient,3,0.45026666666666665,0.008492087820763243,-0.0094,1,-0.017066666666666657,0,0,272,320.0,48,0.0,48.0,0.5752190635539591,1.39121979761666,0.024812977761030197,0.02456742400924365,0.09028556197881699,0.002083333364377419,0.0052083334885537624,6.088413776666736
gradient_sensor_48,mlp,gradient,3,0.5409333333333334,0.015059290229696173,-0.02300000000000002,0,-0.02100000000000002,0,0,272,320.0,48,0.0,48.0,4.258568287309673,1.2705388357238807,0.01124877172211806,0.009959020962317785,0.0936459278066953,0.0,0.0010416666821887095,5.642127741999502
gradient_sensor_48_prune,linear,gradient,3,0.4536,0.005376492040974918,-0.006066666666666665,1,-0.01373333333333332,0,0,272,296.0,48,24.0,24.0,0.5752190541372532,1.264676782727823,0.02156430607040723,0.014511168313523134,0.11123649775981903,0.0,0.0045045046135783195,5.494423542000732
gradient_sensor_48_prune,mlp,gradient,3,0.5521999999999999,0.007680277772754486,-0.01173333333333341,0,-0.009733333333333408,0,0,272,296.0,48,24.0,24.0,4.254372583909167,1.1254055816242956,0.009634670180579027,0.00532279039422671,0.09920237461725871,0.0,0.0011261261533945799,6.219646609665991
